Particle ID,Grain ID,Mineral Classification,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
2043360,2043360,Unclassified,2116,O 34.35%;  Fe 17.98%;  Si 15.25%;  Al 11.24%;  Cr 7.38%;  Ni 7.06%;  Mg 6.74%;  C 0%;,0.00,1.05,22.43
2043361,2043361,Smectite Fe-rich,2666,Fe 29.64%;  O 27.73%;  Si 18.23%;  Al 11.25%;  Cr 6.81%;  Ni 6.34%;  C 0%;,0.00,1.12,1.29
2043362,2043362,Smectite,2696,O 38.99%;  Si 18.04%;  Fe 14.22%;  Mg 9.63%;  Ni 8.56%;  Al 7.49%;  Mn 3.06%;  C 0%;,0.00,1.47,226.02
2043363,2043363,Chr Spinel,3104,O 41.5%;  Fe 20.05%;  Al 13.72%;  Mg 11.96%;  Si 6.57%;  Cr 6.21%;  C 0%;,0.00,1.33,66.43
2043364,2043364,Unclassified,2789,O 46.2%;  Si 26.81%;  Fe 10.27%;  Al 6.65%;  Mg 5.13%;  Ni 4.94%;  C 0%;,0.00,1.07,76.35
2043366,2043366,Not Classified,770,Fe 76.22%;  Ni 11.54%;  O 6.99%;  Si 4.2%;  Al 1.05%;  C 0%;,0.00,1.07,84.11
2043368,2043368,Serpentine,2796,O 45.85%;  Mg 21.23%;  Si 20.23%;  Fe 6.78%;  Ni 5.9%;  C 0%;,0.00,1.14,2024.28
2043372,2043372,Smectite Fe-rich,2906,O 47.36%;  Si 25.22%;  Fe 21.41%;  Ni 4.4%;  Al 1.61%;  C 0%;,0.00,1.15,83.25
2043373,2043373,Qz/Gth,2987,O 45.88%;  Fe 31.26%;  Si 22.86%;  C 0%;,9.90,2.03,1683.09
2043374,2043374,Smectite Fe-rich,2951,O 44.49%;  Fe 30.21%;  Si 21.58%;  Ni 2.53%;  Al 1.19%;  C 0%;,0.00,1.07,11.21
2043375,2043375,Unclassified,2684,Si 35.54%;  Fe 25.78%;  O 24.86%;  Mg 5.89%;  Ni 5.52%;  Al 2.39%;  C 0%;,0.00,1.09,37.96
2043376,2043376,Goethite + Si,2970,Fe 40.75%;  O 39.81%;  Si 18.51%;  Al 0.93%;  C 0%;,0.00,1.08,8.20
2043377,2043377,Unclassified,2429,O 33.76%;  Si 32.48%;  Fe 30.34%;  Mg 3.42%;  C 0%;,0.00,1.08,58.23
2043378,2043378,Goethite + Si,2931,Fe 51.29%;  O 35.57%;  Si 11.47%;  Al 1.68%;  C 0%;,0.00,1.05,64.70
2043379,2043379,Talc,2441,O 37.12%;  Si 32.15%;  Fe 27.19%;  Mg 3.55%;  C 0%;,0.00,1.12,34.51
2043380,2043380,Qz/Gth,2882,O 41.24%;  Fe 36.28%;  Si 22.48%;  C 0%;,0.00,1.07,10.35
2043383,2043383,Smectite Fe-rich,2747,O 46.93%;  Si 27.15%;  Fe 19.48%;  Al 3.68%;  Ni 2.76%;,3.61,1.75,3138.86
2043384,2043384,Smectite Fe-rich,2892,O 41.08%;  Si 26.54%;  Fe 25.94%;  Al 3.15%;  Mg 2.85%;  Na 0.45%;  C 0%;,0.00,1.08,6.47
2043385,2043385,Smectite Fe-rich,2606,O 36.18%;  Fe 32.47%;  Si 25.6%;  Al 3.9%;  Ba 1.86%;  C 0%;,0.00,1.11,12.94
2043386,2043386,Unclassified,3543,Fe 64.76%;  O 29.81%;  Cr 2.35%;  Mg 1.62%;  Al 1.47%;  C 0%;,0.00,1.05,12.94
2043387,2043387,Goethite,3453,Fe 60.4%;  O 36.15%;  Si 3.45%;  C 0%;,0.00,1.06,10.35
2043389,2043389,Serpentine Fe-rich,2571,O 37.71%;  Fe 22.91%;  Si 18.92%;  Mg 14.93%;  Ni 5.53%;  C 0%;,0.00,1.13,1335.00
2043390,2043390,Goethite,3295,Fe 62.76%;  O 30.89%;  Si 2.8%;  Mg 2.05%;  Zn 0.86%;  S 0.65%;  C 0%;,0.00,1.07,12.08
2043392,2043392,Serpentine Fe-rich,2401,O 45.58%;  Si 24.04%;  Mg 19.23%;  Fe 10%;  Sc 1.15%;  C 0%;,1.70,1.42,5261.48
2043395,2043395,Serpentine,3000,O 48.57%;  Mg 24.42%;  Si 17.53%;  Fe 8.05%;  Ni 1.43%;  C 0%;,0.00,1.16,2674.74
2043397,2043397,Serpentine,2827,O 49.26%;  Mg 22.49%;  Si 21.82%;  Fe 5.09%;  Ni 1.34%;  C 0%;,0.00,1.12,4582.99
2043399,2043399,Quartz + Fe,1999,Si 49.78%;  O 43.53%;  Fe 6.68%;  C 0%;,0.00,1.13,236.37
2043401,2043401,Chlorite,3214,O 46%;  Mg 26.84%;  Si 22.76%;  Fe 2.35%;  Al 2.04%;  C 0%;,0.00,1.05,119.05
2043404,2043404,Serpentine Fe-rich,2317,O 41.16%;  Mg 22.59%;  Si 20.84%;  Fe 15.41%;  C 0%;,0.00,1.15,5901.59
2043406,2043406,Not Classified,1425,O 34.9%;  Fe 29.46%;  Si 16.71%;  Mg 8.29%;  Ni 5.94%;  Al 4.7%;  C 0%;,0.00,1.09,60.39
2043409,2043409,Chlorite,2781,O 46.81%;  Mg 21.3%;  Si 19.13%;  Ni 4.93%;  Fe 4.33%;  Al 3.49%;,0.00,1.23,1992.36
2043413,2043413,Serpentine Fe-rich,2259,O 43.36%;  Si 20.88%;  Fe 20.35%;  Mg 15.4%;  C 0%;,0.00,1.06,292.88
2043415,2043415,Quartz,2715,O 42.25%;  Si 29.75%;  Ni 15.51%;  Mg 12.5%;  C 0%;,0.00,1.14,2600.55
2043416,2043416,Unclassified,2568,O 38.39%;  Ni 30.21%;  Si 22.62%;  Fe 7.29%;  Al 1.49%;  C 0%;,0.00,1.09,46.58
2043419,2043419,Quartz,3858,Si 51.66%;  O 48.34%;,0.00,1.27,11676.80
2043421,2043421,Chlorite,3022,O 46.85%;  Mg 25.54%;  Si 20.7%;  Fe 5.93%;  Al 0.97%;  C 0%;,0.37,1.22,4025.26
2043422,2043422,Unclassified,3287,O 42.52%;  Fe 22.09%;  Mg 19%;  Si 12.35%;  Al 4.04%;  C 0%;,0.00,1.08,26.31
2043424,2043424,Quartz,3653,Si 51.95%;  O 48.05%;  C 0%;,5.40,2.01,2669.99
2043425,2043425,Quartz + Fe,3533,O 50.71%;  Si 43.84%;  Fe 5.45%;  C 0%;,0.00,1.04,15.10
2043426,2043426,Qz/Gth,3281,O 46.36%;  Si 29.4%;  Fe 22.65%;  Mg 1.59%;,1.11,1.49,98.35
2043427,2043427,Goethite + Si,3294,Fe 43.25%;  O 39.64%;  Si 14.24%;  Mg 2.87%;  C 0%;,0.00,1.10,17.25
2043428,2043428,Smectite Fe-rich,3293,O 41.53%;  Si 29.8%;  Fe 27.97%;  Al 0.71%;  C 0%;,0.00,1.04,19.41
2043429,2043429,Serpentine Fe-rich,2268,O 37.6%;  Fe 35.41%;  Si 19.66%;  Mg 4.21%;  Ni 3.12%;  C 0%;,0.00,1.09,30.63
2043430,2043430,Quartz,3669,O 48.91%;  Si 46.57%;  Fe 3.94%;  Na 0.58%;  C 0%;,0.00,1.13,72.47
