Particle ID,Grain ID,Mineral Classification,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
2061146,2061146,Chlorite,2474,O 41.93%;  Mg 20.94%;  Si 15.63%;  Fe 14.06%;  Al 6.42%;  Ca 0.78%;  V 0.24%;  C 0%;,0.00,1.53,4189.00
2061147,2061147,Chromite Al > 14.5,3223,O 35.86%;  Fe 23.48%;  Al 18.4%;  Cr 16.75%;  Mg 4.76%;  Si 0.76%;  C 0%;,0.12,3.41,2984.85
2061148,2061148,Goethite,3065,Fe 55.13%;  O 34.75%;  Si 9.13%;  Al 1%;  C 0%;,0.00,1.00,21.64
2061149,2061149,Chromite Al > 14.5,3362,O 36.73%;  Al 21.43%;  Cr 18.21%;  Fe 15.67%;  Mg 7.96%;  C 0%;,0.60,1.12,1430.96
2061150,2061150,Chromite Al > 10,1805,Fe 31.99%; O 26.96%;  Cr 19.02%;  Al 13.95%;  Mg 4.23%;  Si 3.86%;  C 0%;,0.00,1.15,282.21
2061151,2061151,Chromite Al > 14.5,3366,O 34.61%;  Al 23.14%;  Cr 18.54%;  Fe 16.34%;  Mg 7.37%;  C 0%;,0.00,1.11,169.67
2061152,2061152,Quartz,3316,Si 50.49%;  O 48.44%;  Fe 0.37%;  Cr 0.32%;  Al 0.28%;  Mg 0.08%;  Zn 0.02%;  C 0%;,2.72,2.47,4080.79
2061153,2061153,Chromite Al > 14.5,3465,O 36.96%;  Al 22.9%;  Cr 18.14%;  Fe 13.61%;  Mg 8.39%;  C 0%;,0.00,1.02,51.94
2061154,2061154,Chromite Al > 14.5,3289,O 35%;  Al 21.29%;  Cr 20.43%;  Fe 15.54%;  Mg 7.74%;  C 0%;,0.00,1.98,1053.53
2061155,2061155,Chromite Al > 14.5,3264,O 34.29%;  Al 25%;  Cr 18.81%;  Fe 12.73%;  Mg 9.17%;  C 0%;,0.00,1.08,21.64
2061156,2061156,Chromite Al > 14.5,2877,O 37.62%;  Al 20.28%;  Fe 17.78%;  Cr 15.27%;  Mg 7.31%;  Si 1.74%;  C 0%;,0.00,1.05,45.02
2061157,2061157,Chromite Al > 14.5,2899,Fe 27.48%;  O 25.63%;  Al 19.82%;  Cr 17.57%;  Mg 8.32%;  Si 1.19%;  C 0%;,2.70,1.09,62.33
2061158,2061158,Unclassified,2515,Cr 26.87%;  O 22.73%;  Al 22.13%;  Fe 19.29%;  Mg 6.88%;  Si 2.12%;  C 0%;,0.00,1.37,4.33
2061159,2061159,Unclassified,1882,Fe 29.7%;  Cr 28.48%;  O 19.6%;  Al 19.6%;  Si 2.63%;  C 0%;,0.00,1.00,11.25
2061160,2061160,Chromite Al > 14.5,3396,O 35.16%;  Al 22.26%;  Cr 20.05%;  Fe 14.43%;  Mg 8.1%;  C 0%;,0.00,1.00,27.70
2061161,2061161,Chlorite Fe-rich,2637,O 39.19%;  Fe 28.7%;  Si 15.83%;  Al 13.43%;  Ni 2.85%;  C 0%;,2.11,1.95,521.14
2061162,2061162,Hematite,3255,Fe 67.45%;  O 27.47%;  Si 2.47%;  Al 1.3%;  Mn 1.3%;  C 0%;,0.00,1.01,14.72
2061163,2061163,Goethite,2801,Fe 46.97%;  O 32.4%;  Si 7.28%;  Al 6.67%;  Ni 4%;  Mn 2.67%;  C 0%;,0.00,1.05,50.21
2061164,2061164,Chr Cr-Magnetite,3365,Fe 49.43%;  O 27.58%;  Cr 22.9%;  Al 0.05%;  Si 0.04%;  C 0%;,0.51,1.07,845.76
2061165,2061165,Goethite + Si,2188,Fe 35.07%;  O 32.7%;  Si 16.71%;  Al 14.23%;  Ni 1.29%;  C 0%;,0.00,1.45,533.26
2061166,2061166,Hematite,2986,Fe 66.62%;  O 31.03%;  Cr 1.3%;  Si 1.04%;,0.00,1.00,11.25
2061167,2061167,Goethite,3073,Fe 44.53%;  O 37.48%;  Si 9.75%;  Al 8.25%;  C 0%;,0.00,1.62,1482.04
2061168,2061168,Chlorite Fe-rich,2670,O 39.86%;  Fe 29.33%;  Si 14.97%;  Al 10.25%;  Mg 4.5%;  Ni 1.09%;  C 0%;,0.00,1.03,107.34
2061169,2061169,Quartz + Fe,2464,O 57.18%;  Si 36.58%;  Fe 5.94%;  Al 0.3%;  C 0%;,0.00,1.60,2079.35
2061170,2061170,Chlorite Fe-rich,2544,O 38.49%;  Fe 32.88%;  Si 13.29%;  Al 12.74%;  Ni 2.6%;  C 0%;,0.00,1.00,2.60
2061172,2061172,Chromite Al > 14.5,3377,O 36.24%;  Cr 21.57%;  Al 18.6%;  Fe 15.92%;  Mg 7.67%;  C 0%;,0.00,1.04,249.31
2061174,2061174,Serpentine Fe-rich,2257,O 39.15%;  Mg 21.15%;  Fe 20.22%;  Si 19.48%;  C 0%;,0.25,1.17,10452.16
2061175,2061175,Hematite,3316,Fe 68.02%;  O 30.96%;  Cr 1.02%;  C 0%;,0.00,1.03,25.97
2061176,2061176,Serpentine Fe-rich,2452,O 34.81%; Fe 29.82%;  Mg 16.5%;  Si 14.92%;  Ni 3.94%;  C 0%;,0.30,1.29,3972.58
