Particle ID,Grain ID,Mineral Classification,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
2093720,2093720,Chlorite Ni-rich,1436,O 28.83%;  Fe 25.09%;  Si 23.93%;  Ni 11.65%;  Mg 7.42%;  Al 3.07%;  C 0%;,0.00,1.70,3264.17
2093722,2093722,Chlorite,2467,O 46.4%;  Mg 25.12%;  Si 16.24%;  Al 9.09%;  Fe 2.99%;  Na 0.15%;  C 0%;,0.00,1.11,6211.32
2093724,2093724,Unclassified,3183,O 45.23%;  Fe 13.98%;  Cr 12.5%;  Mg 11.82%;  Al 9.09%;  Si 7.39%;  C 0%;,0.00,1.04,20.01
2093725,2093725,Chromite,3165,O 34.24%;  Fe 24.01%;  Cr 21.17%;  Mg 8.79%;  Al 6.21%;  Si 5.58%;  C 0%;,1.43,1.97,2767.08
2093726,2093726,Unclassified,3183,O 45.23%;  Fe 13.98%;  Cr 12.5%;  Mg 11.82%;  Al 9.09%;  Si 7.39%;  C 0%;,0.00,1.00,36.94
2093727,2093727,Unclassified,3105,O 45.56%;  Mg 13.77%;  Fe 12.62%;  Cr 9.83%;  Al 9.12%;  Si 9.12%;  C 0%;,1.36,1.82,1003.41
2093728,2093728,Chr Spinel,3064,O 36.4%;  Fe 23%;  Cr 15.51%;  Mg 10.38%;  Si 9.33%;  Al 5.39%;  C 0%;,0.00,1.00,93.88
2093729,2093729,Chromite,3318,O 38.3%;  Cr 24.05%;  Fe 17.05%;  Mg 8.27%;  Al 7.38%;  Si 4.96%;,0.00,1.50,13.85
2093730,2093730,Chlorite,3042,O 48.7%;  Mg 19.49%;  Si 16.2%;  Al 9.02%;  Fe 6.59%;  C 0%;,0.00,1.13,249.31
2093731,2093731,Chr Spinel,3064,O 36.4%;  Fe 23%;  Cr 15.51%;  Mg 10.38%;  Si 9.33%;  Al 5.39%;  C 0%;,0.00,0.00,1.54
2093732,2093732,Chr Spinel,3064,O 36.4%;  Fe 23%;  Cr 15.51%;  Mg 10.38%;  Si 9.33%;  Al 5.39%;  C 0%;,0.00,1.04,6.16
2093733,2093733,Chr Spinel,3064,O 36.4%;  Fe 23%;  Cr 15.51%;  Mg 10.38%;  Si 9.33%;  Al 5.39%;  C 0%;,0.00,1.00,3.08
2093734,2093734,Chr Spinel,3064,O 36.4%;  Fe 23%;  Cr 15.51%;  Mg 10.38%;  Si 9.33%;  Al 5.39%;  C 0%;,0.00,1.04,15.39
2093735,2093735,Chlorite,2987,O 46.72%;  Mg 21.79%;  Si 15.39%;  Fe 8.43%;  Al 7.67%;  C 0%;,9.66,1.14,1382.00
2093736,2093736,Chlorite,3000,O 47.43%;  Mg 17.03%;  Si 13.73%;  Fe 12.38%;  Al 6.37%;  Ni 3.06%;  C 0%;,0.00,1.02,147.74
2093738,2093738,Quartz,3820,O 51.43%;  Si 47.65%;  Na 0.92%;  C 0%;,0.00,1.23,20876.24
2093739,2093739,Chlorite,2997,O 48.06%;  Mg 23%;  Si 15.63%;  Al 7.36%;  Fe 3.62%;  Ni 2.33%;  C 0%;,0.00,1.30,19862.05
2093740,2093740,Lithiophorite,3090,O 40.56%;  Mn 25.28%;  Fe 21.11%;  Al 6.94%;  Co 6.11%;  C 0%;,0.00,1.08,278.56
2093741,2093741,Quartz + Fe,3031,O 44.23%;  Si 42.48%;  Fe 13.29%;  C 0%;,0.00,1.29,2342.32
2093742,2093742,Qz/Gth,2664,O 37.78%;  Si 30.39%;  Fe 28.62%;  Cr 3.22%;  C 0%;,0.00,1.06,193.91
2093743,2093743,Chr Cr-Magnetite,3542,Fe 37.78%;  Cr 34.35%;  O 26.65%;  Al 0.61%;  Sc 0.61%;,13.44,2.02,10622.03
2093744,2093744,Unclassified,3152,O 46.42%;  Si 38.11%;  Fe 15.47%;  C 0%;,0.00,1.60,290.87
2093745,2093745,Qz/Gth,2976,Si 40.52%;  O 34.85%;  Fe 24.64%;  C 0%;,0.00,1.14,44.63
2093746,2093746,Unclassified,2984,O 39.65%;  Fe 27.6%;  Si 25.85%;  Cr 6.9%;  C 0%;,0.00,1.01,98.49
2093747,2093747,Goethite + Si,3026,Fe 53.61%;  O 32.68%;  Si 10.77%;  Cr 1.59%;  Mg 1.35%;  C 0%;,0.00,1.00,4.62
2093748,2093748,Kaolinite,2479,O 48.82%;  Al 26.48%;  Si 21.6%;  Fe 3.11%;  C 0%;,0.00,1.06,317.03
2093749,2093749,Quartz,3665,O 50.91%;  Si 49.09%;  C 0%;,0.00,1.17,226.23
2093751,2093751,Chlorite Fe-rich,2842,O 39.91%;  Fe 31.94%;  Al 12.37%;  Si 10.65%;  Cr 5.14%;  C 0%;,22.93,1.37,9886.40
2093752,2093752,Chlorite Fe-rich,2587,O 42.28%;  Fe 30.2%;  Si 16.95%;  Al 10.57%;  C 0%;,0.00,1.00,29.24
2093753,2093753,Smectite Fe-rich,2515,O 41.77%;  Fe 28.86%;  Si 19.02%;  Al 10.36%;  C 0%;,0.00,1.24,261.63
2093754,2093754,Chlorite Fe-rich,2587,O 42.28%;  Fe 30.2%;  Si 16.95%;  Al 10.57%;  C 0%;,0.00,0.00,1.54
2093755,2093755,Chlorite Fe-rich,2587,O 42.28%;  Fe 30.2%;  Si 16.95%;  Al 10.57%;  C 0%;,0.00,1.00,3.08
2093756,2093756,Chlorite Fe-rich,2587,O 42.28%;  Fe 30.2%;  Si 16.95%;  Al 10.57%;  C 0%;,0.00,1.29,4.62
2093757,2093757,Quartz,3777,O 53.11%;  Si 46.89%;  C 0%;,0.00,1.02,124.66
2093758,2093758,Chromite Al > 14.5,3396,O 38.94%;  Al 20.54%;  Cr 18.85%;  Fe 16.37%;  Mg 5.3%;,0.00,1.05,624.83
2093759,2093759,Goethite,3039,O 42.47%;  Fe 37.32%;  Al 11.84%;  Si 8.37%;  C 0%;,0.00,1.02,44.63
2093760,2093760,Goethite,3065,O 42.3%;  Fe 35.61%;  Al 11.51%;  Si 8.35%;  Cr 2.23%;  C 0%;,0.00,1.50,1081.90
2093761,2093761,Quartz,3765,O 50.44%;  Si 49.56%;,0.00,1.06,1012.65
2093762,2093762,Quartz,3644,O 51.12%;  Si 42.25%;  Fe 4.19%;  Al 2%;  Cr 0.44%;  C 0%;,0.00,1.06,264.70
2093763,2093763,Quartz,3748,O 52.05%;  Si 46.3%;  Fe 1.64%;,0.00,1.04,136.97
2093765,2093765,Chlorite,2348,O 39.43%;  Mg 20.25%;  Si 19.35%;  Fe 13.98%;  Al 6.99%;  C 0%;,0.00,1.51,3344.20
2093766,2093766,Goethite,2285,Fe 58.14%;  O 34.43%;  Si 7.42%;  C 0%;,0.00,1.23,292.41
2093767,2093767,Chr Cr-Magnetite,3524,Fe 37.76%;  O 35.28%;  Cr 15.53%;  Mg 4.64%;  Al 2.59%;  Zn 2.16%;  Si 2.05%;,0.00,1.23,187.76
2093768,2093768,Chromite,3348,O 35.57%;  Fe 26.19%;  Cr 25.33%;  Mg 5.6%;  Al 4.26%;  Si 3.05%;  C 0%;,1.04,1.55,2333.09
2093769,2093769,Chlorite,3216,O 49.86%;  Mg 20.64%;  Si 15.13%;  Al 9.46%;  Fe 4.31%;  Cr 0.61%;  C 0%;,0.00,1.35,3755.11
2093770,2093770,Chlorite,3015,O 44.31%;  Mg 16.19%;  Fe 15.91%;  Si 10.84%;  Al 7.54%;  Cr 5.21%;,1.49,1.53,2942.53
2093771,2093771,Chromite,3498,O 36.3%;  Fe 23.7%;  Cr 21.16%;  Mg 9.48%;  Al 5.43%;  Si 3.93%;  C 0%;,0.00,1.09,477.08
2093772,2093772,Chromite,3441,O 32.67%;  Cr 28.93%;  Fe 25.41%;  Mg 5.72%;  Al 3.74%;  Si 2.31%;  Na 1.21%;  C 0%;,11.59,1.10,281.63
2093773,2093773,Chr Spinel,3502,O 38.49%;  Fe 18.86%;  Cr 16.89%;  Mg 13.49%;  Si 7.35%;  Al 4.93%;,0.00,1.16,43.09
2093774,2093774,Chlorite,2618,O 48.87%;  Mg 22.93%;  Si 15.38%;  Al 9.35%;  Fe 3.47%;  C 0%;,0.00,1.27,6582.21
2093775,2093775,Chlorite,2632,O 39.12%;  Fe 24.26%;  Mg 15.96%;  Si 15.96%;  Al 4.69%;  C 0%;,0.00,1.00,4.62
2093776,2093776,Unclassified,3237,O 39.1%;  Fe 27.22%;  Mg 15.8%;  Si 8.88%;  Al 6.57%;  Cr 2.42%;  C 0%;,0.00,1.00,58.48
2093777,2093777,Chromite,3430,O 32.36%;  Fe 26.43%;  Cr 20.16%;  Mg 10.41%;  Si 5.71%;  Al 4.93%;  C 0%;,0.00,1.00,44.63
2093778,2093778,Chromite,3492,O 36.92%;  Cr 25.69%;  Fe 23.73%;  Mg 6.37%;  Al 4.51%;  Si 2.78%;,0.00,1.30,26.16
