Particle ID,Grain ID,Mineral Classification,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
2159449,2159449,Quartz,3663,O 51.62%;  Si 48.38%;,0.00,1.15,5152.11
2159450,2159450,Quartz,3588,O 52.05%;  Si 43.84%;  Fe 4.11%;  C 0%;,0.00,1.16,579.91
2159451,2159451,Quartz + Fe,3489,O 48.63%;  Si 45.76%;  Fe 5.61%;,0.00,1.23,488.85
2159452,2159452,Chlorite,3056,O 49.58%;  Mg 21.89%;  Si 20.23%;  Al 6.08%;  Fe 2.22%;  C 0%;,0.00,1.45,95776.62
2159453,2159453,Quartz,3511,O 50.14%;  Si 49.86%;,0.00,1.04,551.16
2159454,2159454,Quartz,3464,O 48.77%;  Si 46.99%;  Fe 4.23%;,0.00,2.06,7217.75
2159455,2159455,Quartz,3590,O 50.18%;  Si 49.82%;  C 0%;,0.62,1.35,23182.12
2159456,2159456,Quartz,3649,O 52.71%;  Si 47.29%;,0.00,1.15,3613.67
2159457,2159457,Qz/Gth,3377,O 46.35%;  Si 32.58%;  Fe 21.07%;,0.00,1.07,206.08
2159458,2159458,Quartz + Fe,3424,O 48.3%;  Si 41.13%;  Fe 10.57%;,0.00,1.22,143.78
2159459,2159459,Quartz,3680,Si 50.08%;  O 49.92%;,0.00,1.11,177.33
2159461,2159461,Chlorite,2986,O 51.1%;  Mg 22.31%;  Si 16.56%;  Al 5.4%;  Fe 4.64%;  C 0%;,1.58,1.45,127647.86
2159462,2159462,Serpentine,2825,O 44.39%;  Mg 20.95%;  Si 20.2%;  Fe 9.6%;  Ni 4.86%;,0.00,1.25,119.82
2159463,2159463,Serpentine,2990,O 49.25%;  Mg 22.62%;  Si 18.6%;  Fe 5.86%;  Ni 3.67%;  C 0%;,0.00,1.51,4318.19
2159464,2159464,Chromite Al > 14.5,3365,O 37.68%;  Al 24.75%;  Fe 13.84%;  Cr 13.27%;  Mg 9.67%;  Si 0.79%;  C 0%;,0.00,1.16,282.77
2159465,2159465,Chlorite,2972,O 51.52%;  Mg 20.66%;  Si 16.29%;  Fe 10.99%;  Al 0.53%;  C 0%;,0.00,1.03,311.52
2159466,2159466,Goethite,3029,Fe 60.6%;  O 31.12%;  Ni 6.27%;  Si 2.01%;,0.00,1.00,52.72
2159467,2159467,Hematite,3248,Fe 68.81%;  O 30.07%;  Mg 0.68%;  Si 0.44%;  C 0%;,0.00,1.04,512.82
2159468,2159468,Unclassified,3194,Fe 49.17%;  O 34.54%;  Mg 9.06%;  Si 4.8%;  Al 2.43%;  C 0%;,0.00,1.02,129.40
2159469,2159469,Hematite,3316,Fe 70.3%;  O 28.52%;  Al 0.6%;  Mg 0.57%;  C 0%;,0.00,1.19,206.08
2159470,2159470,Unclassified,3266,Fe 67.5%;  O 28.8%;  Mg 2.28%;  Si 1.41%;,0.00,1.22,52.72
