Particle ID,Grain ID,Mineral Classification,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
1888075,1888075,Quartz,3745,O 50.29%;  Si 49.69%;  Na 0.01%;  Mn 0.01%;  C 0%;,0.00,1.06,715.39
1888077,1888077,Chlorite,2827,O 46.67%;  Mg 23.37%;  Si 18.02%;  Al 6.06%;  Fe 3.57%;  Ni 2.3%;  C 0%;,0.00,1.07,306.80
1888079,1888079,Serpentine Fe-rich,2280,O 35.93%;  Mg 22.44%;  Si 19.25%;  Fe 17.64%;  Ni 4.74%;  C 0%;,0.00,1.21,366.91
1888081,1888081,Quartz,3799,O 50.65%;  Si 49.35%;  C 0%;,0.00,1.11,788.66
1888083,1888083,Smectite Fe-rich,2732,O 34.68%;  Si 29.03%;  Fe 21.77%;  Ni 8.39%;  Mg 4.52%;  Al 1.61%;  C 0%;,0.00,1.21,50.00
1888084,1888084,Serpentine Fe-rich,2864,O 38.62%;  Fe 30.35%;  Si 22.63%;  Mg 4.2%;  Ni 4.2%;  C 0%;,1.97,2.55,192.94
1888085,1888085,Smectite Fe-rich,2544,O 37.82%;  Fe 36.96%;  Si 18.19%;  Ni 5.35%;  Al 1.53%;  Mg 0.15%;  C 0%;,0.00,1.73,171.33
1888086,1888086,Smectite Fe-rich,2891,O 40.53%;  Fe 35.5%;  Si 18.94%;  Ni 2.91%;  Al 2.12%;  C 0%;,0.00,1.01,3.88
1888087,1888087,Smectite Fe-rich,2913,O 39.15%;  Fe 32.41%;  Si 21.96%;  Ni 5.56%;  Al 0.93%;  C 0%;,0.00,1.35,21.88
1888088,1888088,Goethite + Si,2733,Fe 41.65%;  O 31.23%;  Si 17.87%;  Ni 5.91%;  Mg 3.34%;  C 0%;,0.00,1.08,13.85
1888090,1888090,Chlorite Fe-rich,2832,O 42.52%;  Fe 27.92%;  Al 15.36%;  Si 14.2%;  C 0%;,6.09,1.23,130.34
1888091,1888091,Goethite,3072,O 38.94%;  Fe 37.39%;  Al 12.04%;  Si 9.94%;  Mn 1.68%;  C 0%;,0.00,1.26,1.94
1888092,1888092,Chlorite Fe-rich,2311,Fe 35.85%;  O 35.23%;  Al 15.54%;  Si 13.38%;  C 0%;,0.00,1.02,6.51
1888093,1888093,Chlorite Fe-rich,2659,O 40.51%;  Fe 33.23%;  Al 13.58%;  Si 12.68%;  C 0%;,0.00,1.85,121.06
1888094,1888094,Chlorite Fe-rich,2620,O 39.13%;  Fe 33.82%;  Al 14.51%;  Si 12.53%;  C 0%;,0.00,1.10,12.33
1888095,1888095,Goethite + Si,2849,O 38.85%;  Fe 37.12%;  Al 11.83%;  Si 11.38%;  Mg 0.83%;  V 0.01%;  C 0%;,2.91,1.54,415.52
1888096,1888096,Goethite + Si,2853,Fe 39.64%; O 37.55%;  Si 11.86%;  Al 10.95%;  C 0%;,0.00,1.00,3.32
1888097,1888097,Goethite + Si,2771,O 37.06%;  Fe 35.9%;  Al 14.1%;  Si 11.63%;  Cr 1.31%;  C 0%;,0.00,1.28,16.48
1888098,1888098,Goethite,3298,Fe 51.37%;  O 39.24%;  Al 4.95%;  Si 4.43%;  C 0%;,0.00,1.01,9.00
1888099,1888099,Hematite,3442,Fe 64.58%;  O 33.02%;  Si 1.34%;  Al 0.74%;  Mg 0.33%;  C 0%;,0.00,1.03,7.62
1888100,1888100,Goethite + Si,2348,Fe 38.77%;  O 33.63%;  Si 14.98%;  Al 12.63%;  C 0%;,0.00,1.00,0.28
1888101,1888101,Goethite,3135,Fe 43.35%;  O 38.24%;  Al 9.27%;  Si 8.52%;  Mg 0.62%;  C 0%;,0.00,1.03,4.57
1888102,1888102,Quartz,4099,O 52.67%;  Si 47.33%;  C 0%;,0.00,1.03,11.08
1888103,1888103,Goethite,3270,Fe 50.06%;  O 38.56%;  Si 6.45%;  Al 4.93%;  C 0%;,0.00,1.00,3.05
1888105,1888105,Quartz,3747,Si 50.32%;  O 49.68%;,0.43,1.23,1293.94
1888107,1888107,Serpentine,3037,O 49.32%;  Mg 24.64%;  Si 18.74%;  Fe 4.5%;  Ni 2.58%;  S 0.2%;  C 0%;,0.00,1.13,539.90
1888109,1888109,Chlorite,3012,O 48.36%;  Mg 24.22%;  Si 17.91%;  Al 5.8%;  Fe 3.72%;  C 0%;,0.00,1.07,1389.51
1888111,1888111,Chlorite,3171,O 49.2%;  Mg 25.24%;  Si 15.71%;  Al 9.21%;  Ba 0.64%;  C 0%;,0.00,1.18,1416.38
1888113,1888113,Serpentine Fe-rich,2539,O 38.32%;  Si 24.14%;  Fe 23.7%;  Mg 7.24%;  Ni 6.6%;  C 0%;,7.92,1.25,589.35
1888114,1888114,Serpentine Fe-rich,2693,O 42.06%;  Fe 23.68%;  Si 21.03%;  Mg 6.82%;  Ni 6.41%;  C 0%;,0.00,1.15,30.33
1888115,1888115,Serpentine Fe-rich,2742,O 37.82%;  Fe 29.05%;  Si 21.33%;  Ni 6.35%;  Mg 5.45%;  C 0%;,0.00,1.01,7.20
1888117,1888117,Quartz,2510,O 40.26%;  Si 30.81%;  Mg 19.79%;  Ni 8.8%;  Al 0.34%;  C 0%;,1.25,1.09,625.36
1888118,1888118,Chr Cr-Magnetite,3271,Fe 35.83%;  O 35.24%;  Cr 17.79%;  Si 7.13%;  Al 2.16%;  Mg 1.86%;  C 0%;,0.00,1.01,3.05
1888119,1888119,Chlorite,2579,O 36.78%;  Fe 26.44%;  Si 20.67%;  Mg 6.71%;  Ni 5.23%;  Al 4.16%;  C 0%;,0.00,1.20,4.85
1888121,1888121,Chlorite,2490,O 40.17%;  Fe 23.42%;  Si 23.32%;  Mg 7.4%;  Ni 4.8%;  Al 0.88%;  C 0%;,0.00,1.18,171.20
1888123,1888123,Quartz,3738,Si 50.8%; O 49.2%;  C 0%;,0.00,1.10,2260.45
1888125,1888125,Goethite,3023,Fe 50.69%;  O 37.08%;  Al 6.53%;  Si 5.69%;  C 0%;,1.91,1.17,28.39
1888126,1888126,Unclassified,2896,O 49.58%;  Al 20.97%;  Si 19.03%;  Fe 10.42%;  C 0%;,3.89,1.35,85.46
1888127,1888127,Chlorite Fe-rich,2863,O 44.43%;  Fe 21.44%;  Al 16.12%;  Si 16.12%;  Ba 1.89%;  C 0%;,0.00,1.18,4.16
1888128,1888128,Goethite,3271,Fe 56.92%;  O 36.35%;  Al 3.79%;  Si 2.94%;  C 0%;,0.00,1.02,3.32
1888129,1888129,Goethite + Si,2839,Fe 40.27%;  O 37.18%;  Al 10.87%;  Si 10.34%;  Cr 1.34%;  C 0%;,0.00,1.20,8.17
1888130,1888130,Hematite,3092,Fe 70.94%;  O 27.62%;  Si 1.44%;  C 0%;,0.00,1.25,38.78
1888131,1888131,Hematite,2470,Fe 64.46%;  O 32.86%;  Si 2.68%;  C 0%;,0.00,1.67,49.17
1888132,1888132,Chlorite Fe-rich,2608,O 44.05%;  Fe 30.78%;  Si 13.44%;  Al 11.73%;  C 0%;,0.00,1.01,10.80
1888133,1888133,Goethite,3076,Fe 47%;  O 36.64%;  Al 6.45%;  Si 6.34%;  Ni 3.57%;  C 0%;,0.00,1.04,1.52
1888134,1888134,Unclassified,2017,Fe 57.19%;  O 19.13%;  Al 12.93%;  Si 10.75%;  C 0%;,0.00,1.02,5.40
1888135,1888135,Goethite,2541,Fe 58.46%;  O 33.42%;  Al 3.33%;  Si 3.33%;  Cr 1.46%;  C 0%;,0.00,1.07,7.62
1888136,1888136,Chlorite Fe-rich,2908,O 41.01%;  Fe 32.08%;  Al 14.88%;  Si 12.03%;  C 0%;,0.00,1.34,69.25
1888137,1888137,Goethite,2453,O 39.22%;  Fe 38.14%;  Al 12.71%;  Si 9.92%;  C 0%;,0.00,1.17,12.33
1888138,1888138,Goethite,3107,Fe 56.94%;  O 33.95%;  Si 4.62%;  Al 4.49%;  C 0%;,0.00,1.05,22.85
1888139,1888139,Goethite,2816,Fe 56.18%;  O 36.05%;  Si 3.95%;  Al 3.82%;  C 0%;,0.00,0.00,0.28
