Particle ID,Grain ID,Mineral Classification,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
2124951,2124951,Serpentine,2676,O 45.47%;  Mg 20.72%;  Si 20.51%;  Fe 7.77%;  Ni 5.53%;  C 0%;,0.00,1.09,43232.36
2124953,2124953,Chlorite,3051,O 50.49%;  Mg 26.29%;  Si 18.46%;  Fe 2.61%;  Al 2.16%;,0.00,1.17,7879.16
2124955,2124955,Chlorite,2931,O 49.58%;  Mg 23.72%;  Si 15.72%;  Al 8.29%;  Fe 2.69%;,3.57,1.26,52046.96
2124956,2124956,Hematite,3219,Fe 72.86%;  O 27.14%;  C 0%;,0.00,1.00,98.90
2124957,2124957,Unclassified,3356,Fe 66.38%;  O 29.59%;  Mg 2.26%;  Al 0.77%;  Si 0.66%;  Na 0.33%;  C 0%;,0.00,1.08,342.03
2124958,2124958,Goethite,2855,Fe 52.77%;  O 33.08%;  Mg 7.08%;  Si 5.02%;  Al 2.06%;,0.00,1.00,53.57
2124959,2124959,Hematite,3315,Fe 69.09%;  O 29.34%;  Mg 0.58%;  Mn 0.58%;  Na 0.4%;  C 0%;,0.00,1.02,197.80
2124960,2124960,Hematite,3299,Fe 69.85%;  O 28.64%;  Mg 1.27%;  Si 0.24%;,0.00,1.00,98.90
2124961,2124961,Hematite,3454,Fe 71.27%;  O 28.73%;,0.00,1.26,754.12
2124963,2124963,Chlorite,2953,O 51.02%;  Mg 22.31%;  Si 14.8%;  Al 9.69%;  Ni 1.19%;  Fe 0.99%;  C 0%;,0.00,1.15,20402.57
2124965,2124965,Chr Spinel,3234,O 37%;  Fe 29.95%;  Cr 13.59%;  Mg 8.93%;  Si 5.4%;  Al 4.35%;  Na 0.79%;,0.00,1.06,28648.49
2124966,2124966,Chlorite,2560,O 45.28%;  Mg 26.24%;  Si 20.64%;  Al 3.2%;  Fe 3.2%;  Cr 1.44%;  C 0%;,0.00,1.06,1887.37
2124968,2124968,Chlorite,3022,O 49.7%;  Mg 26.32%;  Si 19.15%;  Fe 3.49%;  Al 1.33%;  C 0%;,0.00,1.05,445.06
2124970,2124970,Chlorite,2685,O 47.71%;  Mg 22.47%;  Si 16.57%;  Al 10.49%;  Fe 1.56%;  Cr 1.2%;  C 0%;,0.00,1.05,548.08
2124971,2124971,Chromite Al > 14.5,3289,O 34.97%;  Cr 22.87%;  Fe 19.86%;  Al 17.26%;  Mg 5.01%;  Mn 0.02%;  Si 0%;  C 0%;,4.82,1.63,49656.84
2124972,2124972,Chlorite,3089,O 53.57%;  Mg 21.94%;  Si 13.59%;  Al 10.9%;  C 0%;,0.00,1.05,609.89
2124973,2124973,Chlorite,2263,O 41.92%;  Si 23.02%;  Fe 13.75%;  Mg 9.28%;  Al 7.04%;  Cr 4.98%;  C 0%;,0.00,1.12,576.93
2124974,2124974,Chlorite,3068,O 48.78%;  Mg 22.23%;  Si 12.83%;  Al 10.51%;  Fe 2.99%;  Cr 2.65%;  C 0%;,0.00,1.06,1277.48
2124975,2124975,Chlorite,2230,O 42.23%;  Mg 21.7%;  Si 17.22%;  Fe 11.36%;  Al 7.49%;  C 0%;,0.00,1.00,214.29
2124976,2124976,Chlorite,3123,O 52.72%;  Mg 22.06%;  Si 12.61%;  Al 10.46%;  Cr 2.15%;  C 0%;,0.00,1.03,498.63
2124977,2124977,Chlorite,2551,O 42.36%;  Mg 21.88%;  Si 18.4%;  Al 8.85%;  Fe 8.51%;  C 0%;,0.00,1.12,3543.97
2124979,2124979,Quartz,2729,O 53.9%;  Si 46.1%;  C 0%;,0.00,1.05,3473.92
2124981,2124981,Chlorite,3068,O 51.51%;  Mg 21.62%;  Si 14.37%;  Al 8.55%;  Fe 3.95%;  C 0%;,0.00,1.32,77328.70
2124982,2124982,Chlorite,2575,O 42.05%;  Si 18.43%;  Mg 17.95%;  Fe 12.13%;  Al 6.3%;  Ni 3.15%;  C 0%;,0.00,1.17,4528.87
2124983,2124983,Chromite Al > 14.5,3189,O 40.71%;  Al 27.41%;  Mg 11.53%;  Fe 11.53%;  Cr 8.82%;,0.03,1.33,12576.99
2124984,2124984,Goethite,3314,Fe 62.76%;  O 31.81%;  Cr 2.59%;  Al 1.73%;  Si 1.11%;  C 0%;,0.00,1.43,1899.74
2124985,2124985,Chlorite,3075,O 50.12%;  Mg 22.44%;  Si 17.33%;  Al 6.61%;  Fe 3.49%;,1.46,1.43,13891.56
2124986,2124986,Chr Cr-Magnetite,3374,Fe 54.93%;  O 29.44%;  Cr 10.85%;  Al 2.96%;  Si 1.83%;  C 0%;,0.00,2.21,2509.63
2124987,2124987,Chr Spinel,3064,O 36.4%;  Fe 32.17%;  Mg 13.17%;  Si 6.83%;  Cr 5.96%;  Al 5.47%;  C 0%;,0.00,1.00,61.81
2124988,2124988,Chlorite,2979,O 51.93%;  Mg 21.65%;  Si 13.81%;  Al 8.9%;  Fe 3.72%;  C 0%;,0.00,1.00,28.85
2124989,2124989,Chromite Al > 14.5,3213,O 39.41%;  Al 24.94%;  Cr 13.76%;  Fe 11.41%;  Mg 9.65%;  Si 0.82%;  C 0%;,0.00,1.03,115.39
2124990,2124990,Chlorite,2931,O 47.2%;  Fe 18.27%;  Si 12.93%;  Mg 11.87%;  Al 7.73%;  Ni 2%;  C 0%;,0.00,1.01,206.05
2124991,2124991,Chr Spinel,3057,O 35.5%;  Fe 29.57%;  Mg 12.44%;  Si 8.56%;  Cr 7.76%;  Al 6.16%;  C 0%;,0.00,1.32,721.16
2124993,2124993,Talc,2771,O 46.49%;  Si 25.05%;  Mg 17.2%;  Fe 11.22%;  Ni 0.04%;  C 0%;,0.00,1.10,61661.03
2124995,2124995,Chlorite,2904,O 47.83%;  Mg 21.5%;  Si 18.41%;  Fe 6.19%;  Ni 3.66%;  Al 2.4%;  C 0%;,9.45,1.24,43380.72
2124996,2124996,Chlorite,2898,O 48.01%;  Mg 17.49%;  Si 15.01%;  Fe 10.42%;  Ni 4.84%;  Al 4.22%;,0.00,1.25,103.02
2124997,2124997,Chlorite,2783,O 45.68%;  Mg 20.58%;  Si 16.87%;  Fe 9.83%;  Ni 3.85%;  Al 3.19%;  C 0%;,0.00,1.15,296.70
2124998,2124998,Chlorite,2927,O 45.66%;  Fe 15.18%;  Mg 14.74%;  Si 14.38%;  Al 5.37%;  Ni 4.65%;  C 0%;,0.00,1.22,2798.09
2124999,2124999,Chlorite,2886,O 48.93%;  Mg 21.26%;  Si 15.72%;  Fe 9.56%;  Ni 2.52%;  Al 2.01%;,0.00,1.08,1520.61
2125000,2125000,Chromite Al > 14.5,3074,O 39.99%;  Al 15.73%;  Fe 14.61%;  Mg 12.97%;  Cr 11.72%;  Si 4.97%;  C 0%;,2.18,1.11,2583.80
2125001,2125001,Chlorite,2958,O 47.34%;  Mg 14.98%;  Fe 13.65%;  Si 12.2%;  Al 11.84%;,0.00,1.25,103.02
2125003,2125003,Quartz,3578,Si 49.7%;  O 49.55%;  Mg 0.75%;  C 0%;,0.00,1.22,3362.65
2125004,2125004,Goethite + Si,1893,Fe 46.75%;  O 25.99%;  Si 18.41%;  Al 5.6%;  Mn 3.25%;  C 0%;,0.00,1.54,5682.72
2125005,2125005,Goethite,3080,Fe 57.83%;  O 33.5%;  Si 3.44%;  Al 3.18%;  Mn 2.04%;  C 0%;,0.00,1.00,78.30
2125006,2125006,Chlorite Fe-rich,2846,O 44.14%;  Fe 24.23%;  Si 16.14%;  Al 14.84%;  Mn 0.65%;  C 0%;,6.40,4.13,28623.78
2125007,2125007,Goethite + Si,2604,Fe 45.87%;  O 33.84%;  Si 11.17%;  Al 6.77%;  Mn 2.36%;  C 0%;,0.00,1.04,337.91
2125008,2125008,Lithiophorite,2918,O 45.91%;  Fe 25.24%;  Mn 13.03%;  Si 7.17%;  Al 6.68%;  Cr 1.96%;  C 0%;,6.02,2.43,15449.26
2125009,2125009,Goethite + Si,2080,Fe 44.52%;  O 33.15%;  Si 17.36%;  Al 4.96%;  C 0%;,0.00,1.09,1186.82
2125010,2125010,Goethite,2940,Fe 58.78%;  O 34.07%;  Cr 3.25%;  Si 2.34%;  Na 1.56%;  C 0%;,0.00,1.08,737.64
2125011,2125011,Goethite,2387,Fe 57.42%;  O 34.35%;  Al 4.68%;  Si 3.55%;  C 0%;,0.00,1.09,309.07
2125012,2125012,Quartz,3622,O 50.87%;  Si 49.13%;,1.31,1.54,7772.02
2125013,2125013,Lithiophorite,3087,Fe 50.53%;  O 34.53%;  Mn 9.33%;  Al 4.27%;  Si 1.33%;,0.00,1.07,502.75
2125014,2125014,Lithiophorite Si+Fe-rich,1936,O 42.02%;  Mn 18.65%;  Fe 18.43%;  Al 11.69%;  Si 9.21%;  C 0%;,0.00,1.00,226.65
2125015,2125015,Quartz,3688,O 51.4%;  Si 48.6%;,0.00,1.20,2744.52
2125016,2125016,Lithiophorite Si+Fe-rich,3112,O 48.01%;  Si 19.07%;  Mn 11.39%;  Fe 11.39%;  Al 10.15%;  C 0%;,0.00,1.37,20.60
2125017,2125017,Goethite,3150,Fe 58.86%;  O 36.17%;  Si 2.79%;  Na 2.18%;  C 0%;,0.00,1.10,259.62
2125018,2125018,Lithiophorite,3027,Fe 44.71%;  O 36.91%;  Mn 10.45%;  Al 4.6%;  Si 3.34%;  C 0%;,0.00,1.25,103.02
2125019,2125019,Lithiophorite Si+Fe-rich,3021,O 46.83%;  Si 17.04%;  Fe 16.77%;  Al 12.08%;  Mn 7.29%;  C 0%;,0.00,1.10,234.89
2125020,2125020,Lithiophorite,2924,O 39.16%;  Fe 37.76%;  Si 7.83%;  Al 7.69%;  Mn 7.55%;,0.00,1.01,74.18
2125021,2125021,Lithiophorite Si+Fe-rich,3112,O 48.01%;  Si 19.07%;  Mn 11.39%;  Fe 11.39%;  Al 10.15%;  C 0%;,0.00,1.18,103.02
2125022,2125022,Lithiophorite,2911,O 38.07%;  Fe 32.04%;  Mn 18.53%;  Al 8.33%;  Si 3.02%;  C 0%;,0.00,1.03,222.53
2125023,2125023,Quartz + Fe,3253,O 47.68%;  Si 37.58%;  Fe 13.01%;  Al 1.2%;  Mg 0.53%;  C 0%;,0.00,1.08,634.62
2125024,2125024,Lithiophorite Si+Fe-rich,2920,O 44.98%;  Fe 21.53%;  Al 12.92%;  Si 12.6%;  Mn 7.97%;  C 0%;,0.00,1.16,98.90
2125025,2125025,Lithiophorite,3087,O 42.56%;  Mn 23.17%;  Al 12.44%;  Fe 9.39%;  Si 7.2%;  Co 5.24%;  C 0%;,0.00,1.13,140.11
2125026,2125026,Serpentine,2800,O 47.47%;  Mg 22.96%;  Si 19.39%;  Fe 8.04%;  Ni 2.16%;,0.00,1.11,29592.19
2125027,2125027,Lithiophorite,3321,Fe 43.68%;  O 35.63%;  Mn 10.73%;  Al 5.75%;  Ni 2.17%;  Si 1.53%;  Sc 0.51%;,0.00,1.05,276.10
2125028,2125028,Quartz + Fe,3050,O 45.32%;  Si 34.44%;  Mn 9.64%;  Fe 6.89%;  Al 3.72%;  C 0%;,0.00,1.03,82.42
2125029,2125029,Goethite,3326,Fe 61.58%;  O 32.29%;  Mn 4.01%;  Si 2.13%;  C 0%;,0.00,1.01,119.51
2125030,2125030,Lithiophorite,2905,O 47.06%;  Al 15.54%;  Mn 15.23%;  Fe 14.63%;  Si 7.54%;  C 0%;,0.00,1.12,103.02
2125031,2125031,Unclassified,3148,O 44.1%;  Si 42.56%;  Mn 8.55%;  Al 3.59%;  Ni 1.2%;,0.00,1.05,465.66
2125032,2125032,Chlorite Fe-rich,2799,O 42.27%;  Fe 33.6%;  Al 12.93%;  Si 11.2%;  C 0%;,0.00,1.16,144.23
2125033,2125033,Lithiophorite,2251,Fe 39.91%;  O 38.21%;  Al 9.09%;  Mn 8.78%;  Si 4.01%;  C 0%;,0.00,1.33,189.56
2125034,2125034,Goethite,2464,Fe 44.56%;  O 33.69%;  Si 8.09%;  Al 7.16%;  Mn 6.5%;  C 0%;,0.00,1.00,168.96
2125035,2125035,Goethite,3246,Fe 62.5%;  O 31.81%;  Mg 3.46%;  Si 2.23%;,0.00,1.00,65.93
2125036,2125036,Lithiophorite Si+Fe-rich,2767,O 37.12%;  Fe 31.64%;  Al 13.01%;  Mn 9.59%;  Si 8.63%;  C 0%;,0.00,1.18,49.45
2125037,2125037,Goethite,3180,Fe 53.86%;  O 40.9%;  Al 3.33%;  Si 1.9%;  C 0%;,0.00,1.02,115.39
2125038,2125038,Quartz,3539,O 51.3%;  Si 44.81%;  Fe 3.9%;  C 0%;,0.00,1.32,2934.08
2125039,2125039,Quartz,3605,O 50.9%;  Si 49.1%;,0.00,1.01,197.80
2125040,2125040,Chlorite Fe-rich,2922,O 45.7%;  Fe 31.45%;  Si 11.99%;  Al 10.86%;  C 0%;,0.00,1.00,140.11
2125041,2125041,Lithiophorite Si+Fe-rich,2988,O 45.22%;  Fe 25.04%;  Al 11.08%;  Mn 9.26%;  Si 8.5%;  V 0.91%;,0.00,1.22,1240.39
2125043,2125043,Chlorite,3013,O 51.66%;  Mg 24.05%;  Si 15.66%;  Al 7.09%;  Fe 1.54%;  C 0%;,0.00,1.11,49846.40
2125045,2125045,Chr Cr-Magnetite,3245,Fe 53.55%;  O 38.96%;  Cr 6.08%;  Si 1.41%;  C 0%;,14.21,1.39,24061.93
2125046,2125046,Goethite,2034,Fe 51.66%;  O 39.12%;  Cr 4.99%;  Si 2.51%;  Al 1.73%;  C 0%;,0.00,1.03,407.97
2125047,2125047,Chlorite,2944,O 41.14%;  Fe 19.76%;  Mg 18.13%;  Si 12.58%;  Al 8.39%;  C 0%;,0.00,1.22,337.91
2125049,2125049,Chlorite,3226,O 50.59%;  Mg 23.22%;  Si 15.46%;  Al 8.93%;  Fe 1.8%;  C 0%;,0.00,1.20,12115.44
2125050,2125050,Chlorite,3121,O 51.56%;  Mg 24.32%;  Si 14.1%;  Al 8.91%;  Fe 1.12%;  C 0%;,1.77,1.34,7788.50
2125051,2125051,Chromite Al > 14.5,3495,O 40.03%;  Al 20.85%; Fe 16.41%;  Cr 13.51%;  Mg 8.88%;  Si 0.31%;  C 0%;,2.21,3.80,45420.56
2125052,2125052,Chromite Al > 10,3061,O 39.97%;  Fe 23.56%;  Al 11.28%;  Cr 10.15%;  Mg 8.4%;  Si 6.64%;  C 0%;,0.00,1.00,12.36
