Particle ID,Grain ID,Mineral Classification,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
1933861,1933861,Chlorite Fe-rich,2403,O 41.93%;  Fe 26.91%;  Si 16.57%;  Al 9.77%;  Ni 4.82%;  C 0%;,3.97,1.42,1429.87
1933862,1933862,Chlorite Fe-rich,2612,O 37.78%;  Fe 33.29%;  Si 16.12%;  Al 8.59%;  Cr 4.23%;  C 0%;,0.00,1.29,1.99
1933863,1933863,Goethite + Si,2794,O 40.5%;  Fe 36.02%;  Si 10.81%;  Al 10.19%;  Mg 1.24%;  Cr 1.24%;  C 0%;,0.00,1.09,2.99
1933864,1933864,Chlorite Fe-rich,2393,O 44.03%;  Fe 32.58%;  Si 16.13%;  Al 7.26%;  C 0%;,0.00,1.20,11.97
1933865,1933865,Smectite Fe-rich,1850,O 33.88%;  Fe 33.41%;  Si 20.33%;  Al 8.18%;  Ni 4.21%;  C 0%;,0.00,1.05,16.95
1933866,1933866,Goethite,3156,Fe 55.89%;  O 29.49%;  Si 7.73%;  Al 5.47%;  Mg 1.43%;  C 0%;,0.00,1.22,5.19
1933867,1933867,Smectite Fe-rich,2323,O 43.97%;  Fe 24.92%;  Si 21.66%;  Al 9.45%;  C 0%;,0.00,1.25,23.93
1933868,1933868,Unclassified,3895,O 61.11%;  Fe 27.78%;  Na 11.11%;  C 0%;,0.00,1.04,6.38
1933869,1933869,Goethite,3349,Fe 53.3%;  O 37.73%;  Si 6.6%;  Al 2.37%;  C 0%;,0.00,1.00,2.59
1933870,1933870,Quartz,3724,O 50.5%;  Si 49.5%;  C 0%;,0.00,1.22,106.31
1933871,1933871,Smectite Fe-rich,2358,O 44.18%;  Fe 28.33%;  Si 18.89%;  Al 8.6%;  C 0%;,0.00,1.23,3.39
1933872,1933872,Goethite + Si,2790,Fe 39.43%;  O 38.53%;  Si 13.14%;  Al 8.89%;  C 0%;,0.00,1.00,2.99
1933873,1933873,Goethite + Si,3145,Fe 46.38%;  O 39.97%;  Si 10.86%;  Al 2.79%;  C 0%;,0.00,1.00,2.19
1933874,1933874,Serpentine Fe-rich,2153,O 38.44%;  Si 21.58%;  Mg 18.11%;  Fe 16.1%;  Ni 5.78%;  C 0%;,2.90,1.17,2091.45
1933875,1933875,Serpentine Fe-rich,2784,O 39.01%;  Fe 38.57%;  Si 11.43%;  Mg 10.99%;  C 0%;,0.00,1.26,4.39
1933876,1933876,Unclassified,3034,Fe 47.62%;  O 32.36%;  Mg 10.5%;  Si 9.52%;  C 0%;,0.00,1.03,4.79
1933877,1933877,Ol/Px Alt,2885,Fe 41.57%;  O 36.73%;  Si 10.46%;  Mg 9.15%;  Cu 2.09%;  C 0%;,0.00,1.00,3.39
1933878,1933878,Unclassified,3132,Fe 43.24%;  O 37.56%;  Mg 10.51%;  Si 8.7%;  C 0%;,0.00,1.11,13.16
1933880,1933880,Chlorite,3067,O 51.74%;  Mg 23.1%;  Si 13.27%;  Al 10.51%;  Fe 1.38%;  C 0%;,0.00,1.31,2220.29
1933882,1933882,Lithiophorite Si+Fe-rich,2628,O 32.51%;  Fe 21.84%;  Ni 15.8%;  Mn 13.65%;  Si 12.5%;  Al 3.7%;  C 0%;,0.00,1.07,28.72
1933883,1933883,Lithiophorite Si+Fe-rich,2419,Fe 30.42%;  O 25.02%;  Ni 14.79%;  Si 13.74%;  Mn 12.64%;  Al 3.38%;  C 0%;,0.00,1.17,38.69
1933884,1933884,Goethite + Si,2241,Fe 40.53%;  O 23.03%;  Ni 13.08%;  Si 12.28%;  Mn 9.28%;  Al 1.8%;  C 0%;,0.00,1.84,46.67
1933885,1933885,Lithiophorite Si+Fe-rich,2595,O 34.34%;  Fe 31.48%;  Si 10.49%;  Ni 9.54%;  Mn 7.31%;  Mg 5.09%;  Al 1.75%;  C 0%;,0.00,1.37,13.36
