Grain ID,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
249,9787,Fe 71.79%;  O 27.54%;  Al 0.67%;  C 0%;,1.77,1.72,8671.47
251,9714,Fe 75.8%;  O 24.2%;  C 0%;,0,1.07,7259.34
253,9616,Fe 70.05%;  O 27.97%;  Al 1.36%;  Si 0.62%;  C 0%;,3.3,1.94,36590.79
255,9639,Fe 70.12%;  O 27.83%;  Al 2.05%;  C 0%;,4.28,1.93,16848.2
257,9973,Fe 75.17%;  O 24.83%;  C 0%;,0,1.13,10477.05
259,9789,Fe 73.91%;  O 26.09%;  C 0%;,0.62,1.18,36191.5
261,9669,Fe 72.47%;  O 27.53%;  C 0%;,0,1.07,22233.78
263,8183,Fe 70.72%;  O 25.36%;  Al 3.92%;  C 0%;,1.81,3.36,5533.61
264,8256,Fe 74.15%;  O 23.01%;  Al 2.85%;  C 0%;,1.24,1.75,5268.72
265,8765,Fe 68.76%;  O 28.32%;  Al 2.92%;  C 0%;,2.42,1.72,3461.19
266,7308,Fe 70.78%;  O 23.84%;  Al 4.77%;  Si 0.61%;  C 0%;,0,1.08,17.53
301,9613,Fe 68.86%;  O 29.19%;  Zr 1.19%;  Al 0.76%;  C 0%;,0.79,1.18,10465.36
303,6811,O 41.87%;  Ti 26.27%;  Fe 13.65%;  Al 10.53%;  Si 7.67%;  C 0%;,13.1,1.66,387.61
304,9673,Fe 74.71%;  O 25.29%;  C 0%;,0.15,1.23,22763.58
309,7779,Fe 40.3%;  O 37.21%;  Al 10.35%;  Si 7.46%;  Bi 4.68%;  C 0%;,0,1.08,192.83
310,8393,Fe 56.79%;  O 32.18%;  Al 6.57%;  Si 4.45%;  C 0%;,6.18,2.5,33998.31
322,7941,Fe 47.7%;  O 36.6%;  Al 9.09%;  Si 6.61%;  C 0%;,0,1.16,416.82
323,9667,Fe 75.53%;  O 24.47%;  C 0%;,0.28,1.2,74659.93
331,4178,Fe 88.62%;  Ti 5.6%;  O 2.84%;  Mn 2.39%;  Si 0.55%;,0,1.05,301.9
332,9689,Fe 75.48%;  O 24.52%;  C 0%;,0,1.08,20771.01
333,9712,Fe 76.48%;  O 23.52%;  C 0%;,0,1.13,54085.65
350,9145,Fe 72.96%;  O 26.34%;  Al 0.7%;  C 0%;,0,1.06,198.67
352,9331,Fe 72.75%;  O 26.8%;  Al 0.46%;  C 0%;,0.66,1.06,32107.02
354,9153,Fe 70.48%;  O 27.72%;  Al 1.53%;  Si 0.28%;  C 0%;,0.39,1.14,14306.36
356,9582,Fe 64.64%;  O 30.63%;  Ti 4.33%;  Al 0.4%;  C 0%;,0,1.13,6228.97
357,8264,O 51.51%;  Al 23.94%;  Si 20.92%;  Ti 1.81%;  Fe 1.81%;  C 0%;,2.21,1.87,1032.32
358,7178,O 50.04%;  Al 22.22%;  Si 19.21%;  Fe 5.75%;  Ti 2.79%;  C 0%;,0.45,1.25,1306.95
360,9502,Fe 68.31%;  O 28.18%;  Al 1.97%;  Na 0.88%;  Si 0.66%;  C 0%;,0.61,1.2,29611.93
362,9820,Fe 76.37%;  O 23.63%;  C 0%;,0.05,1.11,60168.53
364,8696,Fe 47.14%;  O 36.67%;  Al 9.25%;  Si 6.94%;  C 0%;,1.09,1.59,21557.91
365,8495,Fe 49.82%;  O 36.08%;  Al 8.34%;  Si 5.76%;  C 0%;,0,1.07,171.4
366,7143,O 43.88%;  Al 20.44%;  Fe 15.94%;  Si 13.97%;  Sr 4.85%;  Ti 0.92%;  C 0%;,0,1.07,393.45
367,8436,Fe 54.41%;  O 35.96%;  Al 5.99%;  Si 3.64%;  C 0%;,3.48,1.5,8055.97
369,9930,Fe 75.4%;  O 24.6%;  C 0%;,0,1.1,15821.73
371,9846,Fe 74.91%;  O 25.09%;  C 0%;,0,1.15,23945.87
373,8852,Fe 69.72%;  O 28.17%;  Al 2.11%;  C 0%;,0.92,1.72,9627.82
