Grain ID,Spectrum Counts,EDS Normalised,Porosity,Roughness,Area µm²
6464,9473,Fe 73.65%;  O 26.35%;  C 0%;,0,1.12,29471.69
6466,9651,Fe 74.3%;  O 25.7%;  C 0%;,0,1.09,13733.72
6468,9566,Fe 75.55%;  O 24.45%;  C 0%;,0,1.08,102635.74
6470,9308,Fe 72.08%;  O 26.12%;  Na 0.8%;  Al 0.68%;  Ti 0.26%;  Mn 0.05%;  C 0%;,0.05,1.17,61230.07
6471,7285,Ti 47.6%;  O 40.53%;  Fe 9.82%;  Al 1.37%;  Si 0.68%;  C 0%;,0,2.28,549.27
6473,9927,Fe 71.21%;  O 27%;  Ti 1.79%;,0,1.07,19765.96
6475,9401,Fe 69.56%;  O 26.35%;  Al 2.11%;  Cr 1.99%;  C 0%;,0.12,1.11,38127.58
6477,9218,Fe 70.09%;  O 27.46%;  Al 1.9%;  Si 0.56%;  C 0%;,0.87,1.67,89957.71
6478,7547,Fe 73.07%;  O 24.53%;  Al 2.4%;  C 0%;,1.43,1.63,3283.94
6479,8035,Fe 71.46%;  O 25.95%;  Al 2.58%;  C 0%;,0,1.06,29.22
6480,7875,Fe 73.32%;  O 24.28%;  Al 2.4%;  C 0%;,0,1.08,17.53
6481,6816,O 41.51%;  Al 20.83%;  Fe 20.68%;  Si 16.98%;  C 0%;,0,1.1,393.45
6482,7302,Fe 74.21%;  O 22.63%;  Al 3.16%;  C 0%;,0,1.08,17.53
6484,9314,Fe 52%;  O 38.71%;  Al 6.22%;  Si 3.06%;  C 0%;,9.32,3.22,14750.45
6485,8446,Fe 57.89%;  O 35.69%;  Al 4.88%;  Si 1.54%;  C 0%;,0,1.16,151.93
6486,8286,Fe 50.28%;  O 37.35%;  Al 7.8%;  Si 4.57%;  C 0%;,0,1.09,66.22
6487,8705,Fe 57.13%;  O 38.01%;  Al 4.3%;  Cd 0.57%;,0,1.09,245.42
6488,8289,Fe 56.03%;  O 36.26%;  Al 5.32%;  Si 2.39%;  C 0%;,0,1.06,79.86
6489,8832,Fe 60.88%;  O 35.69%;  Al 3.43%;  C 0%;,0,1.06,155.82
6566,9521,Fe 73.37%;  O 24.67%;  Ti 1.56%;  Al 0.21%;  Mn 0.12%;  Na 0.05%;  Mg 0.02%;  C 0%;,0,1.29,25667.7
6568,9688,Fe 74.94%;  O 24.88%;  Al 0.17%;  C 0%;,0.59,1.13,94794.02
6569,9286,O 31.31%;  Al 29.28%;  Zn 20.17%;  Fe 16.49%;  Na 2.61%;  Mg 0.14%;  C 0%;,0,1,179.19
6570,8125,Fe 67.65%;  O 25.69%;  Al 4.03%;  Si 2.07%;  K 0.56%;  C 0%;,17.85,3.4,9688.2
6571,9195,Fe 64.62%;  O 28.99%;  Al 3.23%;  Si 2.71%;  K 0.45%;  C 0%;,14.15,2.38,22598.02
6572,8973,Fe 68.67%;  O 28.2%;  Al 2.26%;  Si 0.88%;  C 0%;,0.65,1.24,45326.53
6573,8439,Fe 62.46%;  O 29.62%;  Al 3.44%;  Si 2.99%;  K 1.49%;  C 0%;,0,1,83.75
6574,7948,Fe 62.2%;  O 30.38%;  Al 3.59%;  Si 3.11%;  K 0.72%;  C 0%;,0,1.3,50.64
6575,8414,Fe 48.7%;  O 33.48%;  Si 8.32%;  Al 7.02%;  K 1.73%;  Mg 0.76%;  C 0%;,0,1,181.14
6576,8409,Fe 63.5%;  O 30.24%;  Al 3.02%;  Si 2.59%;  K 0.65%;  C 0%;,0,1.4,23.37
6577,8602,Fe 56.39%;  O 31.71%;  Si 5.41%;  Al 5.13%;  K 1.35%;  C 0%;,0,1.17,68.17
6578,8253,Fe 68.22%;  O 28.11%;  Al 1.95%;  Si 1.73%;  C 0%;,0,1.5,17.53
6579,8278,Fe 68.05%;  O 27.34%;  Si 2.42%;  Al 2.19%;  C 0%;,0,1.4,23.37
6580,7680,Fe 69.35%;  O 22.49%;  Al 4.02%;  Si 2.84%;  K 1.3%;  C 0%;,0,1.5,15.58
6581,4337,Fe 62.92%;  O 15%;  Al 12.5%;  Si 9.58%;  C 0%;,15.44,1.18,223.99
6582,6276,O 36.49%;  Fe 27.99%;  Al 17.83%;  Si 16.16%;  Ti 1.53%;  C 0%;,1.54,1.67,373.97
6583,6783,O 40.92%;  Fe 21.68%;  Si 20%;  Al 17.4%;  C 0%;,18.08,1.52,732.36
6584,6516,Fe 56.4%;  O 26.1%;  Al 8.82%;  Si 7.45%;  Cl 1.23%;  C 0%;,0,1,23.37
6585,9250,Fe 62.93%;  O 29.41%;  Al 3.89%;  Si 3.09%;  K 0.69%;  C 0%;,0,0,1.95
6586,8781,Fe 67.36%;  O 28%;  Al 2.32%;  Si 2.32%;  C 0%;,0,1,3.9
6587,8781,Fe 67.36%;  O 28%;  Al 2.32%;  Si 2.32%;  C 0%;,0,1.04,7.79
6588,8781,Fe 67.36%;  O 28%;  Al 2.32%;  Si 2.32%;  C 0%;,0,1,7.79
6589,8138,Fe 66.74%;  O 25.24%;  Al 4.31%;  Si 3.71%;  C 0%;,14.97,1.6,1238.78
6590,8781,Fe 67.36%;  O 28%;  Al 2.32%;  Si 2.32%;  C 0%;,0,0,1.95
6591,8781,Fe 67.36%;  O 28%;  Al 2.32%;  Si 2.32%;  C 0%;,0,0,1.95
6592,7985,Fe 42.37%;  O 37.12%;  Si 15.38%;  Al 5.13%;  C 0%;,0,1.67,457.73
6594,9709,Fe 75.13%;  O 24.87%;  C 0%;,0.04,1.43,137058.66
6596,9118,Fe 33.63%; Ti 32.52%;  O 29.32%;  Mn 4.49%;  Al 0.03%;  C 0%;,0.67,1.63,2869.06
6598,9505,Fe 73.76%;  O 26.24%;  C 0%;,0,1.16,17485.12
6600,9300,Fe 69.43%;  O 28.01%;  Al 2.56%;  C 0%;,1.56,1.43,22249.37
6602,9123,Fe 77.16%;  O 22.84%;  C 0%;,0,1.11,26982.44
6604,9172,Ti 38.46%;  O 33.89%;  Fe 25.26%;  Mn 2.39%;  C 0%;,0,1.06,37455.6
6606,9595,Fe 56.57%;  O 30.98%;  Ti 11.56%;  Al 0.9%;  C 0%;,2.02,1.86,20753.48
6607,7464,Fe 48.76%;  O 32.94%;  Ti 14.52%;  Al 2.48%;  Si 1.3%;  C 0%;,0,1.45,375.92
6608,9298,Fe 71.69%;  O 26.34%;  Ti 1.42%;  Al 0.55%;  C 0%;,0,1.05,74.02
6610,9339,Fe 68.44%;  O 28.32%;  Al 2.66%;  Si 0.58%;  C 0%;,0.97,1.32,31972.63
6612,6584,Fe 75.14%;  O 20.69%;  Al 3.19%;  Si 0.97%;  C 0%;,7.21,3.41,2754.15
6613,6804,Fe 76.68%;  O 18.94%;  Al 2.96%;  Cr 1.42%;  C 0%;,5.04,1.58,2534.05
6614,8247,Fe 67.57%;  O 26.86%;  Al 4.02%;  Cr 0.95%;  Si 0.59%;  C 0%;,0,1.13,648.61
6615,7527,Fe 73.7%;  O 22.16%;  Al 2.8%;  Cr 1.34%;  C 0%;,0,1.1,74.02
6616,8252,Fe 69.69%;  O 26.42%;  Al 3.27%;  Si 0.63%;  C 0%;,0,1.07,62.33
6617,7803,Fe 64.92%;  O 31.13%;  Al 3.14%;  Si 0.81%;  C 0%;,0,1.09,148.03
6619,9538,Fe 73.45%;  O 26.55%;  C 0%;,0.24,1.13,34070.38
6621,9695,Fe 71.78%;  O 28.22%;  C 0%;,0,1.13,40560.34
6666,9080,Fe 63.82%;  O 30.15%;  Al 4.61%;  Si 1.43%;  C 0%;,0,1.1,9203.21
6671,9569,Fe 74.63%;  O 25.37%;  C 0%;,0.41,1.41,5673.85
6673,7932,O 41.57%;  Fe 39.84%;  Al 11.32%;  Si 7.27%;  C 0%;,3.34,1.7,9929.73
6683,9306,Fe 69.54%;  O 28.48%;  Al 1.74%;  Na 0.24%;  C 0%;,0.15,1.14,82729.54
6684,8021,Fe 73.57%;  O 24.15%;  Al 2.1%;  Si 0.17%;  C 0%;,0,1.17,91.55
6686,9226,Fe 64.29%;  O 26.77%;  Ti 5.86%;  Al 2.23%;  Mn 0.64%;  Na 0.21%;  C 0%;,0.74,2.02,149551.65
6687,9267,O 31.48%;  Al 27.94%;  Zn 20.56%;  Fe 14.56%;  Na 5.46%;  C 0%;,0,1.01,161.66
6688,10220,Ca 43.59%;  O 34.61%;  P 15.99%;  F 4.49%;  Fe 1.31%;  C 0%;,0,1.21,605.76
6690,9651,Fe 72.63%;  O 27.37%;  C 0%;,0,1.11,1038.16
6691,6788,O 44.26%;  Al 22.27%;  Si 18.49%;  Fe 14.98%;  C 0%;,7.55,1.98,7658.63
6692,9547,Fe 72.99%;  O 27.01%;  C 0%;,0,1.28,4512.98
6693,8753,Fe 52.81%;  O 35.53%;  Al 6.05%;  Si 5.62%;  C 0%;,0,1.22,46.75
6694,8616,Fe 60.1%;  O 32.81%;  Al 3.85%;  Si 3.23%;  C 0%;,0,1.4,23.37
6695,9448,Fe 73.16%;  O 26.84%;  C 0%;,0,1.19,5578.41
6697,9367,Fe 70.92%;  O 27.36%;  Al 1.72%;  C 0%;,0.36,1.14,70896.85
6698,9226,Fe 65.72%;  O 29.18%;  Ti 3.19%;  Al 1.88%;  Si 0.04%;  C 0%;,0.29,1.14,52336.55
6699,8513,Fe 41.62%;  O 38.72%;  Al 10.74%;  Si 8.93%;  C 0%;,0,1.11,1007
6701,6624,O 36.27%;  Fe 33.59%;  Al 13.41%;  Si 10.34%;  Ti 6.39%;  C 0%;,0,1.19,38651.53
6703,9069,Fe 68.16%;  O 26.3%;  Al 3.07%;  Mn 1.77%;  Si 0.71%;  C 0%;,0.49,1.29,7177.53
6705,9603,Fe 71.78%;  O 26.68%;  Al 0.83%;  Si 0.71%;  C 0%;,0.38,1.24,34960.51
6706,9706,Fe 72.26%;  O 26.89%;  Zr 0.85%;  C 0%;,0,1.11,18277.86
6707,7588,O 49.13%;  Al 24.97%;  Si 23.22%;  Fe 2.68%;  C 0%;,0,1.04,401.24
6708,8179,O 37.92%;  Fe 33.17%;  Al 16.9%;  Si 12.02%;  C 0%;,6.8,1.55,1414.08
6709,7962,O 51.53%;  Al 21.65%;  Si 18.46%;  Fe 8.37%;  C 0%;,2.51,1.44,5683.59
6710,9641,Fe 72.16%;  O 27.84%;  C 0%;,0,1.07,17.53
6712,7781,Fe 78.41%;  O 20%;  Al 1.59%;  C 0%;,0.74,1.28,21059.28
6714,9936,Fe 74.55%;  O 25.45%;  C 0%;,0,1.04,177.25
6762,9259,Fe 68.26%;  O 29.34%;  Al 1.68%;  Si 0.72%;  C 0%;,1.15,1.42,19337.45
6764,8401,Fe 70.72%;  O 26.67%;  Al 2.04%;  Zr 0.57%;  C 0%;,0,1.07,603.81
6765,7327,Fe 72.29%;  O 24.14%;  Al 2.47%;  Cr 1.1%;  C 0%;,2.55,1.97,514.21
6767,9473,Fe 70.75%;  O 27.36%;  Al 1.3%;  Si 0.59%;  C 0%;,2.47,1.53,32927.04
6768,9245,Fe 72.07%;  O 26.51%;  Al 1.42%;  C 0%;,0,1.06,3761.14
6771,9602,Fe 73.95%;  O 26.05%;  C 0%;,0.32,1.27,39081.99
6772,9688,Fe 72.99%;  O 27.01%;  C 0%;,0,1.11,364.23
6773,9872,Fe 75.47%;  O 24.53%;  C 0%;,0,1.14,34625.49
6795,8489,Fe 63.71%;  O 25.22%;  Al 6.52%;  Cr 3.2%;  Na 0.86%;  Si 0.49%;  C 0%;,0,1.18,12900.07
6796,8522,O 43.29%;  Fe 21.71%;  Al 19.7%;  Si 15.31%;  C 0%;,5.09,2.5,14316.1
6797,8394,O 51.4%;  Al 22.66%;  Si 20.46%;  Fe 5.48%;  C 0%;,0,1.22,502.52
6798,9557,Fe 72.73%;  O 26.74%;  Ti 0.29%;  Cd 0.23%;  C 0%;,0.19,1.69,181680.1
6799,8346,O 45.92%;  Al 18.94%;  Fe 18.37%;  Si 16.76%;  C 0%;,0,2.06,823.91
6800,8795,Fe 55.86%;  O 32.3%;  Al 6.9%;  Si 3.56%;  Cr 0.8%;  Na 0.57%;  C 0%;,0,1.5,17.53
6801,8740,Fe 59.63%;  O 30.69%;  Al 5.02%;  Si 3.38%;  Cr 1.28%;  C 0%;,0,1.5,17.53
6802,9663,Fe 73.09%;  O 26.91%;  C 0%;,1.9,1.39,28018.66
6803,8310,O 42.2%;  Fe 25.67%;  Al 16.51%;  Si 13.58%;  Sr 1.17%;  Cr 0.87%;  C 0%;,7,2.35,9912.2
6804,8713,O 38.53%;  Fe 33.41%;  Al 15.64%;  Si 11.02%;  Cr 1.4%;  C 0%;,9.48,1.42,18404.47
6805,9225,O 41.41%;  Fe 32.61%;  Al 15.09%;  Si 10.89%;  C 0%;,0,2.02,2391.86
6806,8473,Fe 50.11%;  O 33.47%;  Al 9.98%;  Si 5.01%;  Cr 1.44%;  C 0%;,0,1.36,619.39
6807,8863,Fe 63.46%;  O 29.06%;  Al 4.63%;  Cr 1.38%;  Si 1.07%;  Na 0.39%;  C 0%;,0,1.22,46.75
6808,8536,Fe 53.57%;  O 32.37%;  Al 7.38%;  Si 5.7%;  Cr 0.99%;  C 0%;,0,1.14,223.99
6809,9806,Fe 72.36%;  O 27.64%;  C 0%;,0,1.1,200.62
6810,9843,Fe 74.83%;  O 25.17%;  C 0%;,0,1.18,30893.56
6811,8868,Fe 37.7%;  O 36.6%;  Al 14.44%;  Si 9.55%;  Cr 1.71%;  C 0%;,0,1.03,7.79
6812,8868,Fe 37.7%;  O 36.6%;  Al 14.44%;  Si 9.55%;  Cr 1.71%;  C 0%;,0,0,3.9
6813,8868,Fe 37.7%;  O 36.6%;  Al 14.44%;  Si 9.55%;  Cr 1.71%;  C 0%;,0,0,1.95
6815,9083,Fe 68.59%;  O 28.15%;  Al 2.29%;  Si 0.97%;  C 0%;,0,1.4,12380.02
6817,8321,Fe 62.96%;  O 29.6%;  Al 4.72%;  Si 2.71%;  C 0%;,7.72,1.72,30435.84
6818,7682,Fe 63.82%;  O 29.01%;  Al 4.19%;  Si 2.98%;  C 0%;,3.65,1.24,668.08
6819,8955,O 39.17%;  Fe 27.03%;  Al 14.13%;  Si 13.94%;  K 5.75%;  C 0%;,0,1.08,549.27
6821,9130,Fe 68.92%;  O 28.35%;  Al 2.74%;  C 0%;,5.56,1.24,10514.06
6823,9172,Ti 37.38%;  O 34.39%;  Fe 27.38%;  Mn 0.84%;  C 0%;,0,1.14,1256.31
6825,8860,Fe 69.24%;  O 28.2%;  Al 2.56%;  C 0%;,7.72,1.52,23509.57
6827,8760,Fe 43.58%;  O 38.73%;  Al 9.71%;  Si 7.98%;  C 0%;,0,1.26,12940.98
6828,9570,Fe 60.43%;  O 27.65%;  Ti 11.92%;  C 0%;,0,1.06,488.89
6830,9893,Fe 75.43%;  O 24.57%;  C 0%;,0,1.08,11129.55
6832,9432,Fe 68.04%;  O 28.54%;  Al 3.42%;  C 0%;,0.81,1.47,16793.66
6833,9249,Fe 68.71%;  O 26.91%;  Al 2.74%;  Ti 0.88%;  Na 0.77%;  C 0%;,0.27,1.34,10790.64
6834,7676,Fe 73.65%;  O 24.48%;  Al 1.87%;  C 0%;,9.51,1.8,804.43
6835,7892,Fe 71.99%;  O 26.35%;  Al 1.65%;  C 0%;,0,1.06,29.22
6836,10081,Fe 63.69%;  O 33.41%;  Al 2.9%;  C 0%;,0.97,1.57,26448.76
6837,3173,Fe 94.77%;  O 3.34%;  Mg 1.03%;  Na 0.86%;,7.51,1.83,839.49
6838,7274,Fe 64.84%;  O 29.11%;  Ti 3.75%;  Al 2.31%;  C 0%;,0,1.06,107.13
6839,7618,Fe 70.29%;  O 26.21%;  Al 2.9%;  Si 0.6%;  C 0%;,0,1.12,262.95
6841,9799,Fe 73.53%;  O 26.47%;  C 0%;,0,1.15,16121.68
6843,8888,Fe 58.84%;  O 31.62%;  Al 5.68%;  Si 3.86%;  C 0%;,1.47,3.8,6055.61
6844,8770,Fe 65.23%;  O 29.05%;  Al 3.97%;  Si 1.75%;  C 0%;,2.14,1.62,1515.36
6845,8494,Fe 50.11%;  O 34.78%;  Al 8.7%;  Si 6.41%;  C 0%;,0,1.15,309.7
6846,8764,Fe 61.62%;  O 30.81%;  Al 4%;  Si 3.56%;  C 0%;,0,1.06,118.81
6847,9033,Fe 56.68%;  O 33.76%;  Al 6.22%;  Si 3.34%;  C 0%;,1.84,1.67,5301.83
6848,9038,Fe 60.15%;  O 31.6%;  Al 5.86%;  Si 2.39%;  C 0%;,0,1.15,118.81
6849,9459,Fe 66.27%;  O 28.32%;  Al 3.89%;  Si 1.51%;  C 0%;,0,1.08,17.53
6850,8394,Fe 60.05%;  O 31.02%;  Al 5.41%;  Si 3.53%;  C 0%;,0,1.51,596.02
6851,8750,Fe 53.27%;  O 32.37%;  Al 8.47%;  Si 5.89%;  C 0%;,0,1.08,17.53
6853,6629,O 47.31%;  Al 25.65%;  Si 17.97%;  Fe 9.06%;  C 0%;,0,1.17,455.78
6855,9587,Fe 73.02%;  O 26.98%;  C 0%;,0,1.19,12321.59
6896,9713,Fe 72.89%;  O 27.11%;  C 0%;,3.6,1.41,58399.96
6899,6553,Fe 59.22%;  O 25.7%;  Al 13.27%;  Si 1.82%;  C 0%;,0,1.15,4475.97
6910,8027,Fe 55.88%;  O 30.24%;  Al 7.41%;  Si 5.76%;  K 0.71%;  C 0%;,0,1.07,229.84
6911,9851,Fe 67.2%;  O 31.6%;  Al 1.2%;  C 0%;,1.73,1.59,69274.35
6926,9343,Fe 74.7%;  O 25.28%;  Mg 0.01%;  C 0%;,0.24,1.09,14826.42
6928,8308,Fe 42.7%;  O 36.92%;  Al 11.65%;  Si 8.73%;  C 0%;,4.15,2.84,14423.23
6929,9332,Fe 67.57%;  O 28.52%;  Al 2.96%;  Si 0.95%;  C 0%;,2.69,1.3,27118.79
6930,9358,Fe 69.15%;  O 29.09%;  Al 1.6%;  Si 0.12%;  Sn 0.03%;  C 0%;,0.85,2.06,71553.24
6931,9101,Fe 62.98%;  O 30.53%;  Al 4.26%;  Si 2.23%;  C 0%;,0,1.5,17.53
6932,9266,Fe 67.89%;  O 28.21%;  Al 3.01%;  Si 0.89%;  C 0%;,0,1.01,85.7
6933,8464,Fe 60.35%;  O 30.71%;  Al 5.65%;  Si 3.29%;  C 0%;,0,1.01,251.26
6934,7555,Fe 73.86%;  O 24.46%;  Al 1.68%;  C 0%;,0,1.17,410.98
6935,4806,Fe 96.2%;  O 3.8%;  C 0%;,33.92,1.47,1104.39
6936,7948,Fe 72.56%;  O 25.71%;  Al 1.73%;  C 0%;,0,1.15,11.69
6937,9384,Fe 67.87%;  O 29.1%;  Al 2.33%;  Si 0.7%;  C 0%;,1.07,1.28,24495.14
6938,8703,Fe 43.5%;  O 36.48%;  Al 10.9%;  Si 8.18%;  Na 0.94%;  C 0%;,0.44,1.46,3985.14
6939,8411,Fe 42.58%;  O 36.97%;  Al 11.8%;  Si 8.65%;  C 0%;,0,1,19.48
6940,8647,Fe 75.58%;  O 22.41%;  Al 1.69%;  Si 0.31%;  C 0%;,0,1.1,4024.09
6941,8411,Fe 42.58%;  O 36.97%;  Al 11.8%;  Si 8.65%;  C 0%;,0,1,5.84
6943,9600,Fe 72.49%;  O 26.73%;  Al 0.4%;  Zn 0.28%;  Na 0.08%;  Zr 0.01%;  Mg 0.01%;  C 0%;,0.06,1.1,225175.74
6945,8668,Fe 67.86%;  O 26.92%;  Al 3.26%;  Si 1.37%;  Na 0.6%;  C 0%;,2.34,1.25,26851.94
6947,9816,Fe 75.32%;  O 24.68%;  C 0%;,0.44,1.09,185008.84
6948,10295,Ca 44.48%;  O 36.52%;  P 17.97%;  Fe 1.02%;  C 0%;,0,1.21,716.78
6950,9430,Fe 70.6%;  O 28.03%;  Al 1.37%;  C 0%;,0,1.36,18708.32
6952,9484,Fe 74.35%;  O 25.65%;  C 0%;,0,1.09,24010.15
6954,9232,Fe 69.06%;  O 29.14%;  Al 1.8%;  C 0%;,0,1.08,11441.2
6956,9032,Fe 58.82%;  O 31.29%;  Al 6.34%;  Si 3.55%;  C 0%;,9.13,4.03,10591.97
6957,9042,Fe 50.54%;  O 34.69%;  Al 8.64%;  Si 6.12%;  C 0%;,10.75,4.55,30525.44
6958,9136,Fe 59.69%;  O 31.89%;  Al 4.93%;  Si 3.01%;  Sc 0.48%;  C 0%;,0,1.06,144.13
6959,8989,Fe 54.5%;  O 32.7%;  Al 7.82%;  Si 4.98%;  C 0%;,0,1.09,48.69
6960,8831,Fe 53.23%;  O 31.56%;  Al 8.4%;  Si 5.68%;  Sb 1.14%;  C 0%;,0,1.06,29.22
6961,8956,Fe 47.41%;  O 35.2%;  Al 9.79%;  Si 7.59%;  C 0%;,0,1.08,31.16
6962,8722,Fe 59.74%;  O 31.18%;  Al 5.25%;  Si 3.83%;  C 0%;,0,1.06,48.69
6963,8642,Fe 56.24%;  O 31.64%;  Al 6.91%;  Si 5.21%;  C 0%;,0,1.08,17.53
6964,8002,Fe 52.87%;  O 30.16%;  Al 9.65%;  Si 7.33%;  C 0%;,0,1.78,960.25
6965,8919,Fe 52.97%;  O 34.4%;  Al 7.14%;  Si 5.49%;  C 0%;,0,1.07,23.37
6966,8539,Fe 55.25%;  O 31.65%;  Al 7.39%;  Si 5.71%;  C 0%;,0,1.09,138.29
6967,8633,Fe 54.06%;  O 34.18%;  Al 6.91%;  Si 4.85%;  C 0%;,0,1.09,37.01
6968,9036,Fe 56.38%;  O 32.63%;  Al 6.88%;  Si 4.11%;  C 0%;,0,1.11,122.71
6969,8640,Fe 56.12%;  O 32.07%;  Al 7.13%;  Si 4.68%;  C 0%;,0,1.26,118.81
6971,9307,Fe 69.66%;  O 27.69%;  Si 1.55%;  Al 1.11%;  C 0%;,5,1.63,4031.88
6972,7767,Fe 45.6%;  O 35.09%;  Al 11.49%;  Si 7.82%;  C 0%;,5.06,1.3,913.5
6974,8731,Fe 57.03%;  O 36.81%;  Al 4.07%;  Si 2.09%;  C 0%;,0,1.08,107.13
6976,9477,Fe 68.1%;  O 27.51%;  Bi 4.39%;  C 0%;,0,1.16,2553.53
7010,8042,O 51.46%;  Al 23.67%;  Si 22.07%;  Fe 2.79%;  C 0%;,2.29,1.28,3077.48
7011,9206,Fe 74.48%;  O 25.52%;  C 0%;,4.33,1.79,10928.93
7026,9718,Fe 72.72%;  O 27.28%;  C 0%;,0,1.18,1227.09
7056,7359,Fe 63.72%;  O 26.25%;  Al 4.52%;  Bi 3.27%;  Si 2.24%;  C 0%;,0,2.08,1188.14
7057,8918,Fe 62.5%;  O 29.77%;  Al 4.81%;  Si 2.69%;  P 0.23%;  Ti 0%;  C 0%;,6.92,1.62,55069.27
7058,7244,Fe 62.1%;  O 26.94%;  Al 4.41%;  Bi 4.41%;  Si 2.15%;  C 0%;,0,1,3.9
7059,8928,O 42.29%;  Al 19.86%;  Si 18.19%;  Fe 10.37%;  K 9.11%;  Na 0.18%;  C 0%;,0,1.8,1628.33
7060,9260,Fe 70.3%;  O 26.92%;  Al 2.21%;  Si 0.57%;  C 0%;,0.38,1.35,17350.73
7061,7932,Fe 38.85%;  O 35.05%;  Al 10.58%;  Si 8.89%;  K 4.23%;  Bi 2.41%;  C 0%;,0,1.05,64.28
7062,7919,Fe 36.52%;  O 35.86%;  Al 11.2%;  Si 9.57%;  K 4.66%;  Bi 2.21%;  C 0%;,0,0,1.95
7063,7919,Fe 36.52%;  O 35.86%;  Al 11.2%;  Si 9.57%;  K 4.66%;  Bi 2.21%;  C 0%;,0,0,3.9
7064,7924,Fe 41.32%;  O 34.19%;  Al 9.93%;  Si 8.17%;  K 3.78%;  Bi 2.62%;  C 0%;,0,1.9,757.68
7065,7919,Fe 36.52%;  O 35.86%;  Al 11.2%;  Si 9.57%;  K 4.66%;  Bi 2.21%;  C 0%;,0,0,1.95
7066,8612,O 42.8%;  Fe 17.77%;  Al 16.47%;  Si 15.02%;  K 7.94%;  Bi 0%;  C 0%;,0.62,1.85,1248.52
7067,8164,O 37.76%; Fe 31.72%;  Al 12.64%;  Si 10.97%;  K 5.46%;  Bi 1.47%;  C 0%;,0,0,1.95
7068,8595,O 44.78%;  Al 17.99%;  Si 16.98%;  Fe 10.94%;  K 9.31%;  C 0%;,0,1,7.79
7069,8595,O 44.78%;  Al 17.99%;  Si 16.98%;  Fe 10.94%;  K 9.31%;  C 0%;,0,0,1.95
7070,8595,O 44.78%;  Al 17.99%;  Si 16.98%;  Fe 10.94%;  K 9.31%;  C 0%;,0,0,1.95
7071,8595,O 44.78%;  Al 17.99%;  Si 16.98%;  Fe 10.94%;  K 9.31%;  C 0%;,0,1.44,157.77
7072,2566,Fe 93.01%;  O 6.24%;  Na 0.75%;,47.96,1.06,1192.03
7073,2413,Fe 92.32%;  O 7.68%;,10.99,1.09,977.78
7074,8280,Fe 37.91%; O 36.83%;  Al 14.05%;  Si 11.01%;  Na 0.21%;  C 0%;,0,1.14,1402.39
7075,8595,O 44.78%;  Al 17.99%;  Si 16.98%;  Fe 10.94%;  K 9.31%;  C 0%;,0,0,3.9
7076,8595,O 44.78%;  Al 17.99%;  Si 16.98%;  Fe 10.94%;  K 9.31%;  C 0%;,0,0,1.95
7078,7690,O 40.23%;  Fe 38.97%;  Al 12.99%;  Si 7.82%;  C 0%;,38.32,3.2,13881.75
7079,9028,Fe 68.18%;  O 29.67%;  Al 1.25%;  Si 0.91%;  C 0%;,3.41,1.69,23871.86
7080,9003,Fe 68.25%;  O 28.54%;  Al 2.43%;  Si 0.77%;  C 0%;,0,1,83.75
7081,9172,Fe 62.06%;  O 33.11%;  Al 3.62%;  Si 1.21%;  C 0%;,0,1.5,17.53
7082,8360,Fe 61.55%;  O 32.2%;  Al 4.78%;  Si 1.48%;  C 0%;,0,1.3,40.9
7083,9093,Fe 62.98%;  O 30.87%;  Al 3.19%;  Si 2.39%;  Mg 0.57%;  C 0%;,7.16,1.37,7781.34
7084,9079,Fe 65.54%;  O 30.52%;  Al 1.91%;  Si 0.79%;  Na 0.68%;  K 0.56%;  C 0%;,2.75,1.6,10763.37
7085,7309,Fe 72.33%;  O 23.17%;  Al 3.99%;  Si 0.51%;  C 0%;,0,1.15,175.3
7086,8187,Fe 67.1%;  O 28.88%;  Al 3.26%;  Si 0.76%;  C 0%;,0,1.5,17.53
7087,8369,Fe 63.91%;  O 32.23%;  Al 3.03%;  Si 0.83%;  C 0%;,0,1.13,792.74
7088,8956,Fe 63.6%;  O 30.68%;  Al 3.11%;  Si 2.61%;  C 0%;,0,1.26,25.32
7089,9119,Fe 56.65%;  O 33.19%;  Al 5.08%;  Si 4.32%;  K 0.76%;  C 0%;,0,1.01,72.07
7090,9168,Fe 64.2%;  O 31.29%;  Al 3.58%;  Si 0.92%;  C 0%;,0,1.19,74.02
7091,10459,Si 49.78%;  O 48.89%;  Fe 1.33%;  C 0%;,7.09,1.69,5950.43
7092,8791,Fe 70.43%;  O 27.52%;  Al 2.04%;  C 0%;,0.32,1.64,10833.49
7093,6422,Fe 69.81%;  O 22.25%;  Al 4.24%;  Si 3.71%;  C 0%;,0,1,85.7
7094,7513,Fe 79.78%;  O 18.26%;  Al 1.96%;  C 0%;,0,1.14,249.31
7095,8382,Fe 56.36%;  O 30.47%;  Al 6.41%;  Si 5.61%;  K 1.15%;  C 0%;,0,1.14,83.75
7096,8414,Fe 52.94%;  O 33.33%;  Al 5.76%;  Si 5.76%;  K 1.47%;  Mg 0.74%;  C 0%;,0,1.4,23.37
7097,9049,Fe 65.56%;  O 29.69%;  Al 3.56%;  Si 1.19%;  C 0%;,0,1.01,70.12
7098,9387,Fe 54.45%;  O 36.75%;  Si 5.57%;  Al 3.23%;  C 0%;,0,1.5,17.53
7099,8590,Fe 68.17%;  O 29.25%;  Al 2.02%;  Si 0.56%;  C 0%;,0,1.28,148.03
