Grain ID,Spectrum Counts,Porosity,Roughness,Area µm²,Fe,O,Al,Si,C,Ti,V,Mn,Ce,P,La,Nd,Na,Zr,Bi,Sr,Au,Cl,As,Sn,Mg,Zn,Nb,Sb,U,Y,S,Eu,Pd,Cr,K,Ca,Yb,F,Sc,Cd,Ba,Dy,Pt,Pb,Ta,Th,Pr,Hf,Pm,Cu
6318,8797,0,1.3,804.43,10.9,50,18.39,19.62,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,
6319,8416,1.49,1.71,7736.54,42.22,36.6,11.24,8.01,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,,,,,,,,,,,,,,,
6320,8918,0,1.06,79.86,60.18,35.67,3.45,0.69,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6321,8853,4.68,2.92,29095.77,50.58,37.79,6.68,3.92,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.04,,,,,,,,,,,,,,,
6322,8604,0,1.06,50.64,58.43,36.38,3.09,0.77,0,1.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6323,8663,3.45,1.49,654.45,56.32,36.53,5.39,1.76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6324,7262,0,1.54,979.73,26.16,38.25,19.52,16.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6325,8793,0,1.19,173.35,55.82,36.7,5.27,2.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6326,8331,0,1.1,25.32,53.8,36.74,5.54,3.26,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,
6327,9664,0.1,1.15,114521.03,74.95,25.05,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6331,6251,0,1.12,383.71,72.81,20.61,4.09,2.49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6332,9007,1.35,1.59,44243.57,65.21,30.05,2.92,1.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6333,9115,0,1.12,7498.91,65.89,29.58,2.98,1.55,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6351,9171,1.71,1.87,96915.14,67.91,28.2,2.57,1.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6352,10415,0.43,1.19,1359.54,,49.43,,50.13,0,,,,,,,,,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,
6354,9645,0,1.07,4444.81,72.56,26.05,0.54,,0,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6356,9718,0,1.12,3708.55,72.5,26.47,1.04,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6358,9646,0,1.08,7563.19,74.14,25.86,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6360,9177,0,1.07,1575.75,67.65,29.41,2.94,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6362,9506,0,1.13,25383.33,72.22,27.22,0.56,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6364,9458,0,1.11,6332.2,70.15,27.78,2.07,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6366,9704,0.23,1.3,23638.13,72.9,27.1,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6368,8687,0,1.13,4592.84,70.59,27.17,2.25,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6370,9209,1.34,1.52,19491.32,67.37,29.73,2.34,,0,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,
6413,9002,0,1.08,703.14,68.34,28.43,3.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6414,9220,2.68,2.24,57272.2,66.44,30.45,2.54,0.58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6455,9338,1.88,1.49,4068.89,68.87,27.71,2.59,0.83,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6464,9473,0,1.12,29471.69,73.65,26.35,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6466,9651,0,1.09,13733.72,74.3,25.7,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6468,9566,0,1.08,102635.74,75.55,24.45,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6470,9308,0.05,1.17,61230.07,72.08,26.12,0.68,,0,0.26,,0.05,,,,,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6471,7285,0,2.28,549.27,9.82,40.53,1.37,0.68,0,47.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6473,9927,0,1.07,19765.96,71.21,27,,,,1.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6475,9401,0.12,1.11,38127.58,69.56,26.35,2.11,,0,,,,,,,,,,,,,,,,,,,,,,,,,1.99,,,,,,,,,,,,,,,,
6477,9218,0.87,1.67,89957.71,70.09,27.46,1.9,0.56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6478,7547,1.43,1.63,3283.94,73.07,24.53,2.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6479,8035,0,1.06,29.22,71.46,25.95,2.58,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6480,7875,0,1.08,17.53,73.32,24.28,2.4,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6481,6816,0,1.1,393.45,20.68,41.51,20.83,16.98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6482,7302,0,1.08,17.53,74.21,22.63,3.16,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6484,9314,9.32,3.22,14750.45,52,38.71,6.22,3.06,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6485,8446,0,1.16,151.93,57.89,35.69,4.88,1.54,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6486,8286,0,1.09,66.22,50.28,37.35,7.8,4.57,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6487,8705,0,1.09,245.42,57.13,38.01,4.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.57,,,,,,,,,,
6488,8289,0,1.06,79.86,56.03,36.26,5.32,2.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6489,8832,0,1.06,155.82,60.88,35.69,3.43,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6566,9521,0,1.29,25667.7,73.37,24.67,0.21,,0,1.56,,0.12,,,,,0.05,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,
6568,9688,0.59,1.13,94794.02,74.94,24.88,0.17,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6569,9286,0,1,179.19,16.49,31.31,29.28,,0,,,,,,,,2.61,,,,,,,,0.14,20.17,,,,,,,,,,,,,,,,,,,,,,,,
6570,8125,17.85,3.4,9688.2,67.65,25.69,4.03,2.07,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,,,,,,
6571,9195,14.15,2.38,22598.02,64.62,28.99,3.23,2.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,,,,,,,,,,,,,,,
6572,8973,0.65,1.24,45326.53,68.67,28.2,2.26,0.88,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6573,8439,0,1,83.75,62.46,29.62,3.44,2.99,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,,,,,,,,,,,,,,,
6574,7948,0,1.3,50.64,62.2,30.38,3.59,3.11,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.72,,,,,,,,,,,,,,,
6575,8414,0,1,181.14,48.7,33.48,7.02,8.32,0,,,,,,,,,,,,,,,,0.76,,,,,,,,,,1.73,,,,,,,,,,,,,,,
6576,8409,0,1.4,23.37,63.5,30.24,3.02,2.59,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.65,,,,,,,,,,,,,,,
6577,8602,0,1.17,68.17,56.39,31.71,5.13,5.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.35,,,,,,,,,,,,,,,
6578,8253,0,1.5,17.53,68.22,28.11,1.95,1.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6579,8278,0,1.4,23.37,68.05,27.34,2.19,2.42,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6580,7680,0,1.5,15.58,69.35,22.49,4.02,2.84,0,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,,,,,,,,,,,,,,,
6581,4337,15.44,1.18,223.99,62.92,15,12.5,9.58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6582,6276,1.54,1.67,373.97,27.99,36.49,17.83,16.16,0,1.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6583,6783,18.08,1.52,732.36,21.68,40.92,17.4,20,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6584,6516,0,1,23.37,56.4,26.1,8.82,7.45,0,,,,,,,,,,,,,1.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6585,9250,0,0,1.95,62.93,29.41,3.89,3.09,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,,,,,,,,,,,,,
6586,8781,0,1,3.9,67.36,28,2.32,2.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6587,8781,0,1.04,7.79,67.36,28,2.32,2.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6588,8781,0,1,7.79,67.36,28,2.32,2.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6589,8138,14.97,1.6,1238.78,66.74,25.24,4.31,3.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6590,8781,0,0,1.95,67.36,28,2.32,2.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6591,8781,0,0,1.95,67.36,28,2.32,2.32,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6592,7985,0,1.67,457.73,42.37,37.12,5.13,15.38,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6594,9709,0.04,1.43,137058.66,75.13,24.87,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6596,9118,0.67,1.63,2869.06,33.63,29.32,0.03,,0,32.52,,4.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6598,9505,0,1.16,17485.12,73.76,26.24,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6600,9300,1.56,1.43,22249.37,69.43,28.01,2.56,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6602,9123,0,1.11,26982.44,77.16,22.84,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6604,9172,0,1.06,37455.6,25.26,33.89,,,0,38.46,,2.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6606,9595,2.02,1.86,20753.48,56.57,30.98,0.9,,0,11.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6607,7464,0,1.45,375.92,48.76,32.94,2.48,1.3,0,14.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6608,9298,0,1.05,74.02,71.69,26.34,0.55,,0,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6610,9339,0.97,1.32,31972.63,68.44,28.32,2.66,0.58,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6612,6584,7.21,3.41,2754.15,75.14,20.69,3.19,0.97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6613,6804,5.04,1.58,2534.05,76.68,18.94,2.96,,0,,,,,,,,,,,,,,,,,,,,,,,,,1.42,,,,,,,,,,,,,,,,
6614,8247,0,1.13,648.61,67.57,26.86,4.02,0.59,0,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,,,,,,,,,,,,,,,
6615,7527,0,1.1,74.02,73.7,22.16,2.8,,0,,,,,,,,,,,,,,,,,,,,,,,,,1.34,,,,,,,,,,,,,,,,
6616,8252,0,1.07,62.33,69.69,26.42,3.27,0.63,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6617,7803,0,1.09,148.03,64.92,31.13,3.14,0.81,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6619,9538,0.24,1.13,34070.38,73.45,26.55,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6621,9695,0,1.13,40560.34,71.78,28.22,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6666,9080,0,1.1,9203.21,63.82,30.15,4.61,1.43,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6671,9569,0.41,1.41,5673.85,74.63,25.37,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6673,7932,3.34,1.7,9929.73,39.84,41.57,11.32,7.27,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6683,9306,0.15,1.14,82729.54,69.54,28.48,1.74,,0,,,,,,,,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6684,8021,0,1.17,91.55,73.57,24.15,2.1,0.17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6686,9226,0.74,2.02,149551.65,64.29,26.77,2.23,,0,5.86,,0.64,,,,,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6687,9267,0,1.01,161.66,14.56,31.48,27.94,,0,,,,,,,,5.46,,,,,,,,,20.56,,,,,,,,,,,,,,,,,,,,,,,,
6688,10220,0,1.21,605.76,1.31,34.61,,,0,,,,,15.99,,,,,,,,,,,,,,,,,,,,,,43.59,,4.49,,,,,,,,,,,,
6690,9651,0,1.11,1038.16,72.63,27.37,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6691,6788,7.55,1.98,7658.63,14.98,44.26,22.27,18.49,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6692,9547,0,1.28,4512.98,72.99,27.01,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6693,8753,0,1.22,46.75,52.81,35.53,6.05,5.62,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6694,8616,0,1.4,23.37,60.1,32.81,3.85,3.23,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6695,9448,0,1.19,5578.41,73.16,26.84,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6697,9367,0.36,1.14,70896.85,70.92,27.36,1.72,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6698,9226,0.29,1.14,52336.55,65.72,29.18,1.88,0.04,0,3.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6699,8513,0,1.11,1007,41.62,38.72,10.74,8.93,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6701,6624,0,1.19,38651.53,33.59,36.27,13.41,10.34,0,6.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6703,9069,0.49,1.29,7177.53,68.16,26.3,3.07,0.71,0,,,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6705,9603,0.38,1.24,34960.51,71.78,26.68,0.83,0.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6706,9706,0,1.11,18277.86,72.26,26.89,,,0,,,,,,,,,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6707,7588,0,1.04,401.24,2.68,49.13,24.97,23.22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6708,8179,6.8,1.55,1414.08,33.17,37.92,16.9,12.02,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6709,7962,2.51,1.44,5683.59,8.37,51.53,21.65,18.46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6710,9641,0,1.07,17.53,72.16,27.84,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6712,7781,0.74,1.28,21059.28,78.41,20,1.59,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6714,9936,0,1.04,177.25,74.55,25.45,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6762,9259,1.15,1.42,19337.45,68.26,29.34,1.68,0.72,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6764,8401,0,1.07,603.81,70.72,26.67,2.04,,0,,,,,,,,,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6765,7327,2.55,1.97,514.21,72.29,24.14,2.47,,0,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,,,
6767,9473,2.47,1.53,32927.04,70.75,27.36,1.3,0.59,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6768,9245,0,1.06,3761.14,72.07,26.51,1.42,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6771,9602,0.32,1.27,39081.99,73.95,26.05,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6772,9688,0,1.11,364.23,72.99,27.01,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6773,9872,0,1.14,34625.49,75.47,24.53,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6795,8489,0,1.18,12900.07,63.71,25.22,6.52,0.49,0,,,,,,,,0.86,,,,,,,,,,,,,,,,,3.2,,,,,,,,,,,,,,,,
6796,8522,5.09,2.5,14316.1,21.71,43.29,19.7,15.31,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6797,8394,0,1.22,502.52,5.48,51.4,22.66,20.46,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6798,9557,0.19,1.69,181680.1,72.73,26.74,,,0,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,,,,,,
6799,8346,0,2.06,823.91,18.37,45.92,18.94,16.76,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6800,8795,0,1.5,17.53,55.86,32.3,6.9,3.56,0,,,,,,,,0.57,,,,,,,,,,,,,,,,,0.8,,,,,,,,,,,,,,,,
6801,8740,0,1.5,17.53,59.63,30.69,5.02,3.38,0,,,,,,,,,,,,,,,,,,,,,,,,,1.28,,,,,,,,,,,,,,,,
6802,9663,1.9,1.39,28018.66,73.09,26.91,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6803,8310,7,2.35,9912.2,25.67,42.2,16.51,13.58,0,,,,,,,,,,,1.17,,,,,,,,,,,,,,0.87,,,,,,,,,,,,,,,,
6804,8713,9.48,1.42,18404.47,33.41,38.53,15.64,11.02,0,,,,,,,,,,,,,,,,,,,,,,,,,1.4,,,,,,,,,,,,,,,,
6805,9225,0,2.02,2391.86,32.61,41.41,15.09,10.89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6806,8473,0,1.36,619.39,50.11,33.47,9.98,5.01,0,,,,,,,,,,,,,,,,,,,,,,,,,1.44,,,,,,,,,,,,,,,,
6807,8863,0,1.22,46.75,63.46,29.06,4.63,1.07,0,,,,,,,,0.39,,,,,,,,,,,,,,,,,1.38,,,,,,,,,,,,,,,,
6808,8536,0,1.14,223.99,53.57,32.37,7.38,5.7,0,,,,,,,,,,,,,,,,,,,,,,,,,0.99,,,,,,,,,,,,,,,,
6809,9806,0,1.1,200.62,72.36,27.64,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6810,9843,0,1.18,30893.56,74.83,25.17,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6811,8868,0,1.03,7.79,37.7,36.6,14.44,9.55,0,,,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,
6812,8868,0,0,3.9,37.7,36.6,14.44,9.55,0,,,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,
6813,8868,0,0,1.95,37.7,36.6,14.44,9.55,0,,,,,,,,,,,,,,,,,,,,,,,,,1.71,,,,,,,,,,,,,,,,
6815,9083,0,1.4,12380.02,68.59,28.15,2.29,0.97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6817,8321,7.72,1.72,30435.84,62.96,29.6,4.72,2.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6818,7682,3.65,1.24,668.08,63.82,29.01,4.19,2.98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6819,8955,0,1.08,549.27,27.03,39.17,14.13,13.94,0,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,,,,,,,,,,,,,,,
6821,9130,5.56,1.24,10514.06,68.92,28.35,2.74,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6823,9172,0,1.14,1256.31,27.38,34.39,,,0,37.38,,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6825,8860,7.72,1.52,23509.57,69.24,28.2,2.56,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6827,8760,0,1.26,12940.98,43.58,38.73,9.71,7.98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6828,9570,0,1.06,488.89,60.43,27.65,,,0,11.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6830,9893,0,1.08,11129.55,75.43,24.57,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6832,9432,0.81,1.47,16793.66,68.04,28.54,3.42,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6833,9249,0.27,1.34,10790.64,68.71,26.91,2.74,,0,0.88,,,,,,,0.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6834,7676,9.51,1.8,804.43,73.65,24.48,1.87,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6835,7892,0,1.06,29.22,71.99,26.35,1.65,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6836,10081,0.97,1.57,26448.76,63.69,33.41,2.9,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6837,3173,7.51,1.83,839.49,94.77,3.34,,,,,,,,,,,0.86,,,,,,,,1.03,,,,,,,,,,,,,,,,,,,,,,,,,
6838,7274,0,1.06,107.13,64.84,29.11,2.31,,0,3.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6839,7618,0,1.12,262.95,70.29,26.21,2.9,0.6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6841,9799,0,1.15,16121.68,73.53,26.47,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6843,8888,1.47,3.8,6055.61,58.84,31.62,5.68,3.86,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6844,8770,2.14,1.62,1515.36,65.23,29.05,3.97,1.75,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6845,8494,0,1.15,309.7,50.11,34.78,8.7,6.41,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6846,8764,0,1.06,118.81,61.62,30.81,4,3.56,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6847,9033,1.84,1.67,5301.83,56.68,33.76,6.22,3.34,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6848,9038,0,1.15,118.81,60.15,31.6,5.86,2.39,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6849,9459,0,1.08,17.53,66.27,28.32,3.89,1.51,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6850,8394,0,1.51,596.02,60.05,31.02,5.41,3.53,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6851,8750,0,1.08,17.53,53.27,32.37,8.47,5.89,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6853,6629,0,1.17,455.78,9.06,47.31,25.65,17.97,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6855,9587,0,1.19,12321.59,73.02,26.98,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6896,9713,3.6,1.41,58399.96,72.89,27.11,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6899,6553,0,1.15,4475.97,59.22,25.7,13.27,1.82,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6910,8027,0,1.07,229.84,55.88,30.24,7.41,5.76,0,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,,,,,,
6911,9851,1.73,1.59,69274.35,67.2,31.6,1.2,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6926,9343,0.24,1.09,14826.42,74.7,25.28,,,0,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,
6928,8308,4.15,2.84,14423.23,42.7,36.92,11.65,8.73,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6929,9332,2.69,1.3,27118.79,67.57,28.52,2.96,0.95,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6930,9358,0.85,2.06,71553.24,69.15,29.09,1.6,0.12,0,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,
